,crime,url,text
0,Arson,https://timesofindia.indiatimes.com/city/jaipur/cases-of-loot-arson-online-fraud-in-ajmer/articleshow/76292563.cms,"Ajmer: With the opening of lockdown, criminals too are back in action. In past 24 hours, a shopkeeper was looted, motorcycles were burnt and a man became victim of online fraud in the city. According to police, 45-year-old Amit Sharma, a shopkeeper at Kachehri Road, was returning home when five youths stopped him at Rishi Ghati and looted Rs 16,000 from him. The youths beat him up and fled.

A 22-year-old man Ravi burnt two motorcycles in Traumbey, after he was denied money to buy liquor. Clock tower police arrested him. A man in Alwar Gate police station area ordered a mobile online wherein he got a link to submit details. An hour later, Rs 44,000 were withdrawn from his account. tnn

"
1,Arson,https://timesofindia.indiatimes.com/city/delhi/ne-riots-conspiracy-via-chat-groups-under-scanner/articleshow/76239878.cms,"Delhi Police spokesperson, Mandeep Singh Randhawa, said that out of these, the Crime Branch had arrested 104 p... Read More

NEW DELHI: Moving swiftly towards taking the Delhi riots cases to their logical conclusion, Delhi Police has filed 79 chargesheets against 410 people for offences ranging from murders and arson to assembling unlawfully.Delhi Police spokesperson, Mandeep Singh Randhawa, said that out of these, the Crime Branch had arrested 104 people and the local police 306.Police claim that the murders were either due to instigation by a group of people or in retaliation to the violence that took place between December 24 and 26. They are also probing a conspiracy that was allegedly hatched through WhatsApp groups that were formed during or before the riots.The role of activist groups, such as India against Hate and Pinjra Tod, is also under the scanner. Names of Umar Khalid, Sharjeel Imam and Khalid Saifi figured during the interrogation of the perpetrators of the riot, claim police.According to police, the probe had found that the violence at Jamia Millia Islamia on December 13 last year was the beginning of a conspiracy that later turned the anti-CAA protests into violent clashes with the cops. The three months long protest at Shaheen Bagh was also a part of it, sources said.“In all these cases, the same group of people was found to be leading the protesters. They would block the road and cause inconvenience to public before getting into clashes with the cops to draw attention,” said a police officer.“During the interrogation of suspended AAP councillor Tahir Hussain and Rajdhani Public School owner Farooq Faisal, who have been charged with leading and instigating the rioters, it was found that the purpose of the riots was to embarrass the government during the US President Donald Trump’s visit to India,” sources added.“For the same reason, the members of the activist groups had led the women protesting at the roadside in Jafrabad and Chand Bagh to block the Jafrabad main road and Road Number 66.”Police claim to have recovered several WhatsApp chats in which people opposing the move to block roads were termed as traitors by the protesters. Police have also come across other WhatsApp groups that were formed to avenge the loss of life and property."
2,Arson,https://timesofindia.indiatimes.com/city/hyderabad/upset-husband-of-patient-sets-ablaze-vehicles/articleshow/75877614.cms,"Representative image

HYDERABAD: Upset over his wife testing positive for coronavirus , a 26-year-old painter set ablaze three vehicles while under the influence of alcohol at Bapunagar in Langar Houz on Tuesday night. Police booked him for arson and sent him for quarantine along with two of his friends.Last Saturday, the painter’s wife went to King Koti hospital after experiencing coronavirus symptoms. While her husband was also tested, the hospital sent him home. On Tuesday, her results came back positive and she was sent to Gandhi Hospital. Upset over this, he started consuming alcohol with his two friends and set the vehicles ablaze. “We have registered a case for arson. Along with him, two of his friends were sent to King Koti hospital for quarantine,” Langar Houz inspector K Srinivas said."
3,Arson,https://timesofindia.indiatimes.com/city/kolkata/ration-violence-rocks-murshidabad/articleshow/75512974.cms,"Behrampore/Kolkata: Violence and arson were reported from at least four areas of Murshidabad on Saturday as ration card holders accused dealers of malpractice. The governor took cognizance of the allegation and asked the state government to weed out “corruption” in the public distribution system.Deprived PDS beneficiaries allegedly lit a fire using kerosene in front of a dealer’s house-cum-shop at Punashi under Shimulia gram panchayat in Salar. A large contingent of cops rushed to the spot and quelled the protest. Later, police also detained accused PDS dealer Halim Seikh Sarkar.People at Krishnapur in Lalgola complained that ration dealer Kayem Sheikh and his henchmen pelted stones and bricks from the rooftop, targeting beneficiaries, when he was accused of distributing essentials of substandard quality. Five reportedly sustained head injuries. Kayem dubbed it a conspiracy.At Fatepur, also in Lalgola, residents organized an agitation against PDS dealer Rabiul Islam for allegedly distributing adulterated rice. It is learnt additional SP Tanmoy Sarkar had to rush to three spots in Lalbag to pacify protesters.The dealers told police they were not receiving stocks to last a month, as announced by the chief minister, while customers were pressuring them for distribution of the same.In all the incidents, preliminary police reports suggest the opposition’s role in “instigating beneficiaries”. However, in Ward 20 of Trinamool-run Jangipur Municipality, the party faction opposing the civic chairman organized an ag-itation against dealer Rahamat Sheikh. It is led by the local TMC councillor.State food minister Jyotipriya Mullick blamed BJP and Congress for Saturday’s violence. “As many as 63,69,406 people have received ration. Some people (owing allegiance to opposition parties) targeted ration shops in Murshidabad even before they opened. Nevertheless, as many as 271 ration dealers have been taken to task,” he said.Mullick maintained that although the PM had announced free ration on March 25, the state was yet to get its entire rice quota.Congress leader in Lok Sabha Adhir Chowdhury, on the other hand, urged beneficiaries to check if they were getting rice in adequate quantity and of good quality. “People are supposed to get the Swarna variety of rice. They are instead receiving a substandard variety. The public distribution system in Bengal has become corrupt. If leaders of the ruling party are given a free hand to collect money from dealers, why won’t beneficiaries agitate amid lockdown?” the Behrampore MP said."
4,Arson,https://timesofindia.indiatimes.com/city/lucknow/july-16-auction-of-two-shops-over-anti-caa-arson/articleshow/76759607.cms,"District officials seal a shop owned by Mohammed Nafees in Khurramnagar on Thursday

Lucknow: The district administration announced on Thursday that they would auction two sealed shops on July 16 to recover damages incurred during the anti-CAA protests in Hasanganj area on December 19. The shops were sealed on June 30 by the administration.

The administration also sealed another shop in Khurramnagar, belonging to Mohammad Nafees, who has been accused of rioting and damaging public property worth Rs 64 lakh at Parivartan Chowk.

“It is an ironsmith’s shop located in Khurramnagar and was sealed after the owner failed to pay for the damages of Rs 64 lakh,” said tehsildar Shambhu Saran. He added that the order to pay for recovery of damages was issued by ADM (east) KP Singh to 28 people on February 19.

He said that if the people whose properties are being sealed pay up the amount, their properties will be opened and auction proceedings will be halted.

The two shops that would be auctioned on July 16 include a garment store called NY Fashion Centre and a scrap dealer shop in the Hasanganj police station area. They were sealed on Tuesday.

Scrap dealer Mahenoor Chaudhary and the garment shop’s assistant store manager Dharamvir Singh are among the 13 whom ADM (trans-Gomti) Vishwa Bhushan Mishra had ordered to pay Rs 21.76 lakh within 30 days for the destruction of properties in Hasanganj.

In all, 57 people across four police stations were served notices for recovery of Rs 1.55 crore in damages.

"
5,Arson,https://timesofindia.indiatimes.com/india/sharjeels-hate-speech-led-to-looting-of-temple-donation-boxes-and-arson-up/articleshow/76475364.cms,"NEW DELHI: Uttar Pradesh government on Friday told the Supreme Court that the FIR lodged by UP police against Sharjeel Imam should not be clubbed with the FIRs lodged by police in Delhi, Manipur , Assam or Arunachal Pradesh as his January 16 speech at Aligarh led to vitiate communal harmony for next two months and large scale arson, stone pelting and firing at police.

Though the SC adjourned hearing on Sahrjeel's petition seeking consolidation of all FIRs, which made his alleged speech to cutoff Assam from India with five lakh persons , in all five states as states of Assam, Manipur and Arunchal were granted time to put in their responses, the Yogi Adityanath government said the accused person's speech at Aligarh Muslim University on january 16 during an anti-CAA protest had distinct local effect and hence different from the offences that could have been committed in other states as those FIRs showed.

The state government said ""subsequent to the January 16 hate speech at AMU and it becoming viral on social media platforms, there have been large scale incidents of stone pelting, arson and firing in the Aligarh district.""

""On January 23, around 150-200 protesters, including AMU students, blocked the road and raised slogans of hatred. On January 31, more than 500 persons congregated, including AMU students, for an anti-CAA demonstration creating a tense situation. On February 23, more than 500-600 unknown persons pelted stones, looted donation boxes at temples, scuffled with temple priests, leading to conflict and tension,"" the state said in its affidavit.

""Again on February 23, more than one thousand persons in a pre-planned manner forcibly entered Kotwali Upkot and created a riotous situation by firing from illegal firearms. On February 24, a congregation raised hatred slogans and pelted stones at police and fired upon them with illegal weapons injuring several policemen and damaging public property,"" it said.

The UP government said consolidation of Aligarh FIR with the FIRs lodged at Delhi and other states would be fatal to the investigation into the fall out of the Sharjeel's hate speech at Aligarh and its link with subsequent events that vitiated the communal harmony and created hatred between communities.

"
6,Arson,https://timesofindia.indiatimes.com/city/hyderabad/two-youths-held-for-hurling-petrol-bombs-into-place-of-worship/articleshow/74920868.cms,"This story is from April 1, 2020

Representative image

HYDERABAD: A fortnight after Molotov cocktails (bottles filled with flammable liquid and with a means of ignition) were hurled into a place of worship in Old City, two youths were arrested on Monday night. According to police, the accused duo had taken part in CAA/NRC protests, damaged an ATM centre and an RTC bus before targeting the place of worship.

Task Force team nabbed the offenders from their houses in Chandrayangutta and handed them over to Madannapet police for judicial remand. “The accused have confessed to committing the offences. They will be produced before the magistrate,” Madannapet police said. A case was registered under section 295-A (deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs) of IPC against the duo.

The secretary of a worship place in Madannapet had lodged a complaint with police on March 14, alleging that some unidentified persons had hurled a petrol bomb into the worship place premises. “Broken pieces of the bottle were found in front of the worship place’s door at 4.30 am when one of the workers went there to open it. When the premises was searched, two more petrol bombs were found atop the worship place,” the complainant said.

Taskforce Additional DCP G Chakravarthi said during the interrogation, the duo confessed that during protests against CAA and NRC, they had resorted to acts of arson by setting fire to a private bank

"
7,Arson,https://timesofindia.indiatimes.com/city/kolkata/abvp-supporters-commit-arson-at-ju-gate-ransack-rooms-on-campus/articleshow/71209836.cms,"ABVP supporters protest outside Jadavpur University

The clash spills over outside campus

The ransacked Arts Faculty Students’ Union room

KOLKATA: Anarchy took over the Jadavpur University campus on Thursday evening as around 200 supporters of ABVP stormed the premises wearing bike helmets, armed with sticks and bottles. They ransacked the Arts union room near gate No. 4, the ground-floor corridor of the UG Arts building, set fire to at least six cycles and blocked the road outside the university for over an hour.The rampage began around 7pm and continued for over an hour. The group dispersed only after they had confirmation from their own leaders that central minister Babul Supriyo and governor Jagdeep Dhankhar had left the campus through another gate. Members of Durga Vahini, the women’s wing of Vishwa Hindu Parishad, also joined in the mayhem.When the marauding crowd finally left the campus around 8.15pm, it left behind bonfires that the fire brigade had to douse. ABVP was painted all over a union room and all the furniture smashed. At least one student and an amateur photographer suffered head injuries.Tea stalls outside the university were also set on fire. Pedestrians who had to walk the distance after traffic movement was stalled on Raja SC Mullick Road ran helter-skelter after being chased by ABVP supporters. “I was taking photographs of the protest when a group of ABVP supporters attacked me and snatched my camera. They hit me on the head with a stick. I ran into the university, where students gave me some first aid and later rushed me to hospital,” said Subhasis Das, a resident of Mukundapur, an amateur documentary filmmaker.Homemaker Sarmishtha Das had to scamper past the campus clutching her 14-year-old daughter in school uniform. “We had stopped to see what had happened, when a group of youths set fire to a cycle and began chasing everyone around, brandishing sticks. It was scary,” said the Baghajatin resident.University students said almost all men who were behind the attack were outsiders and had entered the campus to cause trouble. “Since afternoon, we had been organising a peaceful protest against BJP leader Babul Supriyo on our campus. Ours was an organised political programme but at no point did the protest turn violent. But look at what ABVP has done. They have brought in people from outside and vandalised our campus and spread panic outside,” said Roumya Chandra, a second-year postgraduate student of international relations.ABVP supporters said they had to call in reinforcements as there were only 50 of them on campus when hundreds of students gheraoed the minister, who was invited by ABVP to a freshers’ programme. “Since the authorities were not willing to call police and protesters were not even willing to listen to the appeals of the governor and gheraoed him on campus with the minister, we had to call our members from other colleges. That was the only way we had to get the guests out of the campus safely,” said Suranjan Sarkar, an ABVP leader and a first-year postgraduate student of mass communication.On why they had resorted to such violence, another ABVP leader, who is not a student at the university, said: “Any action will have consequences. SFI and TMC supporters had been assaulting our supporters since the afternoon and even molested one of our senior leaders. How long could we tolerate such things,” said Deep Biswas, a senior ABVP leader.The vandalism left JU students and teachers in shock. Samantak Das, professor of comparative literature, stood in disbelief seeing cops guarding JU’s main gate, with ABVP supporters setting fire to cycles of guards and students. His motorbike, too, was damaged. Nandini Mukherjee, a computer science and engineering professor, said: “I have never witnessed violence like this on campus. This is not the Jadavpur University I have known for long. I am scared for the students.”A police officer sent to the spot pleaded helplessness. “We cannot take any action on the campus unless we are asked by the authorities. When the protesters blocked the road outside, we tried to pacify them and did our best to limit the trouble to one area,” said a senior Kolkata Police officer."
8,Arson,https://timesofindia.indiatimes.com/city/vijayawada/govt-withdraws-cases-related-to-tuni-arson-during-2016-kapu-stir/articleshow/74699400.cms,"This story is from March 19, 2020

Vijayawada: The state government on Wednesday withdrew prosecutions related to Tuni arson in 2016 during Kapu reservation agitations and in the cases related to attacks on Reliance properties in Anantapur, Guntur and other places across the state in 2010 when then chief minister Y S Rajashekhar Reddy passed away.

Based on the report submitted by director general of police, the government decided to withdraw prosecution in 51 cases registered in connection with the Kapu Reservation agitation at Tuni in East Godavari district, said the GO 312 issued by the home department.

Similarly, the government issued GO 314 withdrawing the prosecution against the accused in the cases registered in connection with the attacks took place on Reliance properties at Anantapur, Guntur and other places across the state.

Various Reliance properties were attacked after reports about a conspiracy theory on the demise of Y S Rajasekhar Reddy. The GO said that the incidents took place out of emotional outburst and the cases were being withdrawn.

The government had ordered inquiries by Crime Investigation Department (CID) after agitators torched Ratnachal Express in Tuni. Several YSRC leaders were grilled by the CID as suspects for alleged conspiracy in the issue.

"
9,Arson,https://timesofindia.indiatimes.com/city/lucknow/lucknow-woman-cries-arson-neighbours-booked/articleshow/74589215.cms,"This story is from March 12, 2020

Representative image

LUCKNOW: A resident of Yamuna Apartments in Gomtinagar Extension has accused her neighbour of setting on fire interior decoration items she had kept in her balcony.

Police have booked four residents of the apartment complex on charges of assault, causing damage to property and mischief by fire with intent to destroy a house. Police said the 30-year-old woman, who lives on the sixth floor, alleged that her neighbour had been upset with the ongoing interior project in her flat. On Tuesday, he along with three others allegedly threatened her to stop work and when she didn't pay heed, set afire the items in the balcony.

"
