Regions,City,Latitude,Longitude,Murder,Rape,Kidnapping,Robbery,Holding hostage,Riot,Arson,Assault,Covid
Belan Ganj ,Agra,,,0,0,0,0,0,0,0,0,0
Dayal Bagh ,Agra,,,0,0,0,0,0,0,0,0,0
Delhi Gate ,Agra,,,0,0,0,0,0,0,0,0,0
Foundry Nagar ,Agra,,,0,0,0,0,0,0,0,0,0
Jeoni Mandi ,Agra,,,0,0,0,0,0,0,0,0,0
Kamala Nagar ,Agra,,,0,0,0,0,0,0,0,0,0
Kamla Nagar ,Agra,,,0,0,0,0,0,0,0,0,0
MG Road ,Agra,,,0,0,0,0,0,0,0,0,0
Nehru Nagar ,Agra,,,0,0,0,0,0,0,0,0,0
Sanjay Place ,Agra,,,0,0,0,0,0,0,0,0,0
Shahganj ,Agra,,,0,0,0,0,0,0,0,0,0
Sikandra ,Agra,,,0,0,0,0,0,0,0,0,0
Tajganj ,Agra,,,0,0,0,0,0,0,0,0,0
Civil Lines ,Agra,,,0,0,0,0,0,0,0,0,0
Khandari ,Agra,,,0,0,0,0,0,0,0,0,0
Madhu Nagar,Agra,,,0,0,0,0,0,0,0,0,0
Sadar Bazar,Agra,,,0,0,0,0,0,0,0,0,0
Trans Yamuna Colony,Agra,,,0,0,0,0,0,0,0,0,0
Daresi Road,Agra,,,0,0,0,0,0,0,0,0,0
Hing Ki Mandi Road,Agra,,,0,0,0,0,0,0,0,0,0
Mantola,Agra,,,0,0,0,0,0,0,0,0,0
Namner Road,Agra,,,0,0,0,0,0,0,0,0,0
Pratap Pura,Agra,,,0,0,0,0,0,0,0,0,0
Raja ki Mandi,Agra,,,0,0,0,0,0,0,0,0,0
Rakabganj ,Agra,,,0,0,0,0,0,0,0,0,0
Shahzadi Mandi,Agra,,,0,0,0,0,0,0,0,0,0
Fatehabad Road,Agra,,,0,0,0,0,0,0,0,0,0
Mahatma Gandhi Road,Agra,,,0,0,0,0,0,0,0,0,0
Shaheed Nagar ,Agra,,,0,0,0,0,0,0,0,0,0
Taj Nagari ,Agra,,,0,0,0,0,0,0,0,0,0
Taj Road,Agra,,,0,0,0,0,0,0,0,0,0
Adarsh Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Ajit Nagar ,Amritsar,,,0,0,0,0,0,0,0,0,0
Ajnala Road ,Amritsar,,,0,0,0,0,0,0,0,0,0
Albert Road ,Amritsar,,,0,0,0,0,0,0,0,0,0
Amar Avenue,Amritsar,,,0,0,0,0,0,0,0,0,0
Amritsar Cantonment,Amritsar,,,0,0,0,0,0,0,0,0,0
Antaryami Colony,Amritsar,,,0,0,0,0,0,0,0,0,0
Azad Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Basant Avenue ,Amritsar,,,0,0,0,0,0,0,0,0,0
Batala Road ,Amritsar,,,0,0,0,0,0,0,0,0,0
Bharat Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Chheharta ,Amritsar,,,0,0,0,0,0,0,0,0,0
Circular Road ,Amritsar,,,0,0,0,0,0,0,0,0,0
Court Road ,Amritsar,,,0,0,0,0,0,0,0,0,0
Dashmesh Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Dayanand Nagar ,Amritsar,,,0,0,0,0,0,0,0,0,0
Faquir Singh Colony ,Amritsar,,,0,0,0,0,0,0,0,0,0
Fatehgarh Churian Road ,Amritsar,,,0,0,0,0,0,0,0,0,0
G.T. Road ,Amritsar,,,0,0,0,0,0,0,0,0,0
Godbind Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Golden Avenue,Amritsar,,,0,0,0,0,0,0,0,0,0
Green Avenue ,Amritsar,,,0,0,0,0,0,0,0,0,0
GT Road ,Amritsar,,,0,0,0,0,0,0,0,0,0
Gumtala,Amritsar,,,0,0,0,0,0,0,0,0,0
Gurnam Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Guru Arjun Dev Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Guru Colony,Amritsar,,,0,0,0,0,0,0,0,0,0
Guru Ram Das Colony,Amritsar,,,0,0,0,0,0,0,0,0,0
Hall Bazar,Amritsar,,,0,0,0,0,0,0,0,0,0
Himatpura,Amritsar,,,0,0,0,0,0,0,0,0,0
Hussainpura,Amritsar,,,0,0,0,0,0,0,0,0,0
Indira Colony,Amritsar,,,0,0,0,0,0,0,0,0,0
Ishwar Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Itahad Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Jaspal Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Jawahar Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Jodh Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Kabir Park Colony,Amritsar,,,0,0,0,0,0,0,0,0,0
Kashmir Avenue ,Amritsar,,,0,0,0,0,0,0,0,0,0
Katra Ahluwalia,Amritsar,,,0,0,0,0,0,0,0,0,0
Katra Karam Singh,Amritsar,,,0,0,0,0,0,0,0,0,0
Kot Atma Singh,Amritsar,,,0,0,0,0,0,0,0,0,0
Kot Khalsa,Amritsar,,,0,0,0,0,0,0,0,0,0
Kotatma Ram,Amritsar,,,0,0,0,0,0,0,0,0,0
Krishna Nagar ,Amritsar,,,0,0,0,0,0,0,0,0,0
Krishna Square ,Amritsar,,,0,0,0,0,0,0,0,0,0
Kt. Jaimal Singh,Amritsar,,,0,0,0,0,0,0,0,0,0
Lahori Gate,Amritsar,,,0,0,0,0,0,0,0,0,0
Lawrence Road ,Amritsar,,,0,0,0,0,0,0,0,0,0
Majitha Road ,Amritsar,,,0,0,0,0,0,0,0,0,0
Mall Road ,Amritsar,,,0,0,0,0,0,0,0,0,0
Maqbool Road ,Amritsar,,,0,0,0,0,0,0,0,0,0
Model Town,Amritsar,,,0,0,0,0,0,0,0,0,0
Mohindra Colony,Amritsar,,,0,0,0,0,0,0,0,0,0
Mustafabad ,Amritsar,,,0,0,0,0,0,0,0,0,0
Nawan Kot,Amritsar,,,0,0,0,0,0,0,0,0,0
New Gurnam Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
New Pavan Nagar ,Amritsar,,,0,0,0,0,0,0,0,0,0
NH1 ,Amritsar,,,0,0,0,0,0,0,0,0,0
Nimak Mandi,Amritsar,,,0,0,0,0,0,0,0,0,0
Niva Tung,Amritsar,,,0,0,0,0,0,0,0,0,0
Paris Town,Amritsar,,,0,0,0,0,0,0,0,0,0
Punjab House Fed. Housing Society,Amritsar,,,0,0,0,0,0,0,0,0,0
Putli Ghar,Amritsar,,,0,0,0,0,0,0,0,0,0
Putlighar ,Amritsar,,,0,0,0,0,0,0,0,0,0
Queens Road ,Amritsar,,,0,0,0,0,0,0,0,0,0
Ram Nagar Colony,Amritsar,,,0,0,0,0,0,0,0,0,0
Rani Ka Bagh ,Amritsar,,,0,0,0,0,0,0,0,0,0
Ranjit Avenue ,Amritsar,,,0,0,0,0,0,0,0,0,0
Roop Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Sahibzada Jujhar Singh Avenue,Amritsar,,,0,0,0,0,0,0,0,0,0
Sahid Udham Singh Nagar ,Amritsar,,,0,0,0,0,0,0,0,0,0
Sandhu Colony,Amritsar,,,0,0,0,0,0,0,0,0,0
Shakti Nagar ,Amritsar,,,0,0,0,0,0,0,0,0,0
Sharifpura,Amritsar,,,0,0,0,0,0,0,0,0,0
Shori Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Shri Guru Amar Dass Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
St Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Sunder Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Tensilpura,Amritsar,,,0,0,0,0,0,0,0,0,0
Tilak Nagar,Amritsar,,,0,0,0,0,0,0,0,0,0
Tung Bala,Amritsar,,,0,0,0,0,0,0,0,0,0
White Avenue,Amritsar,,,0,0,0,0,0,0,0,0,0
Ajab Nagar  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Arif Colony  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Ashok Nagar ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Banjara Colony  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Beed Bypass Road ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Bhagatsingh Nagar ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Bismillah Colony ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Chatrapathi Nagar  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Chetana Nagar ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Chilkalthana  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Chintamani Colony  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
CIDCO ,Aurangabad,,,0,0,0,0,0,0,0,0,0
City Heights Lane,Aurangabad,,,0,0,0,0,0,0,0,0,0
Dargah Chowk ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Dashmesh Nagar ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Devnandji Nagar  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Disha Nagari  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Dr Ambedkar Nagar  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Gadia Vihar  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Ganesh Colony  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Garkheda ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Gevrai Tanda ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Golden City  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Harsul  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Himayat Bagh  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Itkheda ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Jalan Nagar  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Jalna Road ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Jaswantpura  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Juna Bazaar  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Jyoti Nagar ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Kanchanwadi ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Khadkeshwar  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Khivansara Park ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Khokadpura  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Kiradpura  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Konkanwadi  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Kotla Colony  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Kotwalpura  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
M G M  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Mahavir Chowk  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Mahmoodpura  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Maliwada  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Maya Nagar ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Mayur Park ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Mhada  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
MIDC Industrial Area ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Mirajgave Nagari  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Misarwadi  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Mondha  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
N 1  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
N 10  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
N 11  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
N 12  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
N 13  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
N 2  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
N 3  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
N 4  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
N 5  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
N 7  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
N 8  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
N 9  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
N-6  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Nagar Naka  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Nageshwarwadi  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Nagsenvan  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Naralibag  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Navkhanda  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
New Osmanpura ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Nirala Bazar  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Nirala Bazar Road ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Nyay Nagar ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Osmanpura  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Padampura  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Padegaon ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Paithan Road ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Pandharpur Village ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Pannalal Nagar  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Parvati Nagar  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Pragati Housing Society  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
PWD Colony ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Ramanand Colony ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Rana Nagar ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Renuka Puram ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Sadat Nagar  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Sahakar Nagar ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Samarth Nagar  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Samata Nagar  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Sambhaji Nagar  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Sangram Nagar  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Satara Parisar ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Shahanurwadi ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Shahgunj  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Shantiniketan Colony ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Shantipura  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Shreya Nagar ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Sindhi Colony  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Sivajinagar ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Sundarwadi  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Swapna Nagri ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Ulkanagari  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Vidya Nagar ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Vidyut Colony  ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Waluj ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Wankhede Nagar ,Aurangabad,,,0,0,0,0,0,0,0,0,0
Arera Colony ,Bhopal,,,0,0,0,0,0,0,0,0,0
Bairagarh ,Bhopal,,,0,0,0,0,0,0,0,0,0
Berasia Road ,Bhopal,,,0,0,0,0,0,0,0,0,0
Bittan Market ,Bhopal,,,0,0,0,0,0,0,0,0,0
Govind Pura ,Bhopal,,,0,0,0,0,0,0,0,0,0
Habib Ganj ,Bhopal,,,0,0,0,0,0,0,0,0,0
Hamidia Road ,Bhopal,,,0,0,0,0,0,0,0,0,0
Hoshangabad Road ,Bhopal,,,0,0,0,0,0,0,0,0,0
Indrapuri ,Bhopal,,,0,0,0,0,0,0,0,0,0
Jahangirabad ,Bhopal,,,0,0,0,0,0,0,0,0,0
Jawahar Chowk ,Bhopal,,,0,0,0,0,0,0,0,0,0
Koh E Fiza ,Bhopal,,,0,0,0,0,0,0,0,0,0
Kolar Road ,Bhopal,,,0,0,0,0,0,0,0,0,0
Malviya Nagar ,Bhopal,,,0,0,0,0,0,0,0,0,0
Marvadi Road ,Bhopal,,,0,0,0,0,0,0,0,0,0
MP Nagar ,Bhopal,,,0,0,0,0,0,0,0,0,0
Peer Gate ,Bhopal,,,0,0,0,0,0,0,0,0,0
Raisen Road ,Bhopal,,,0,0,0,0,0,0,0,0,0
Shahpura ,Bhopal,,,0,0,0,0,0,0,0,0,0
Shivaji Nagar ,Bhopal,,,0,0,0,0,0,0,0,0,0
Sultania Road,Bhopal,,,0,0,0,0,0,0,0,0,0
TT Nagar ,Bhopal,,,0,0,0,0,0,0,0,0,0
Manimajra ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Burail ,Chandigarh,,,0,0,0,0,0,0,0,0,0
DLF Mullanpur ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Industrial Area Phase I,Chandigarh,,,0,0,0,0,0,0,0,0,0
Industrial Area Phase II ,Chandigarh,,,0,0,0,0,0,0,0,0,0
M.C.Dhanas ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Madhya Marg ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Manimajra ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Mohali ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Ram Darbar ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 1 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 10 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 10A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 10D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 11 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 11A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 11B ,Chandigarh,,,0,0,0,0,0,0,0,0,0
