,index,text,url,date,headline,crime,location,region,city
0,3,"Sanghamitra Deb scored 77 per cent in her HSLC exams

A 19-year-old girl from Tripura, who was ""married"" at 15 and is mother to a two-and-a-half-year-old son, has not only passed her Class 12 exams but has secured a top rank.

Sanghamitra Deb was ranked in the top ten in results released by the Tripura Board of Secondary Education on Friday. A student of the Arts stream, she scored an incredible 92.6 per cent to finish ninth amongst students of all streams and seventh in her own.

Ms Deb lives with in-laws in the northeastern state's Gandhigram town, which is located around 10 km from state capital Agartala. Her husband, Raju Ghosh, is a BSF (Border Security Force) soldier stationed in Kashmir.

""I studied (in) the time I got after managing household chores and taking care of my child. My in-laws helped of course. I am very happy with the results. Now I wish to complete graduations too in this manner,"" an elated Ms Deb, the daughter of a farmer in the same region, said.

The student of a local school, she secured 77 per cent in her HSLC (high school leaving exams), which she sat for a year after she was married.

Ms Deb's academic success does not, however, mask widespread concern over child marriages, which remain a serious and perennial problem in rural parts of the state.

According to a report by Young Lives, an agency that studies childhood poverty, data from the National Health and Family Survey indicates Tripura ranks second in terms of child marriages in India; around 21.6 per cent of all marriages here involve those between the age of 15 and 19.

The national average is 11.9 per cent, a statistic that is as concerning.",https://www.ndtv.com/india-news/tripura-woman-19-married-at-15-and-a-mother-gets-top-10-in-board-exams-2272585,2020-08-01T00:00:00+00:00,"Tripura Woman, 19, Married At 15 And A Mother, Gets Top 10 In Board Exams",Covid,/Raju:Agartala,Raju,Agartala
1,5,"Delhi and its neighbouring districts of Ghaziabad and Noida witnessed heavy rain today.

Delhi and its neighbouring districts of Ghaziabad and Noida witnessed heavy rain today. The showers started at around 4.10 pm. The sudden evening showers led to a dip in the temperature, bringing relief to the city that was having a sultry day.

The rain sent social media into overdrive, with many people sharing videos and images on Twitter and Facebook.

Skymet weather tweeted that rain and thundershower will continue for next 3-4 hours.

""Rain and thundershower with gusty winds (20-30 kmph) will occur over Central, East Delhi, North, North East, North West, South, South East, South West, and West Delhi, Shahdara districts during the next 3-4 hours,"" SkyMet weather tweeted.

#WeatherAlert for #Delhi: Rain and thundershower with gusty winds (20-30 kmph) will occur over Central, East Delhi, North, North East, North West, South, South East, South West, and West Delhi, Shahdara districts during the next 3-4 hours. #WeatherForecastpic.twitter.com/OfySk9gWiI — SkymetWeather (@SkymetWeather) August 1, 2020",https://www.ndtv.com/india-news/heavy-rain-in-parts-of-delhi-neighbouring-districts-2272574,2020-08-01T00:00:00+00:00,"Heavy Rain In Parts Of Delhi, Neighbouring Districts",Riot,/West Delhi:Delhi,West Delhi,Delhi
2,10,"Union Minister G Kishan Reddy said there is 84 per cent recovery rate in Delhi (File)

All states should follow the ""Delhi model"" to control the spread of the COVID-19 virus, Union Minister of State (Home) G Kishan Reddy said Saturday, in a moment of praise for the Arvind Kejriwal government that has frequently found itself at odds with the centre over managing the outbreak in the national capital.

""You know, Delhi (is) a union territory (that) I am personally monitoring. There is 84 per cent recovery rate in Delhi. All the states should emulate the Delhi model,"" Kishan Reddy said at an event in Hyderabad's Telangana Institute of Medical Sciences and Research (TIMS).

Mr Reddy's comments - he also referred to Delhi's 84 per cent recovery rate, which compares favourably with the national average of 64.52 per cent - comes a day after Delhi Lieutenant Governor Anil Baijal rejected two moves by Mr Kejriwal's government as part of the third phase of easing the lockdown.

The COVID-19 situation continues to be ""fragile"" and the threat is still ""far from over"", which is why this decision has been taken, news agency PTI quoted sources in his office as saying in response to questions over his latest reversal of Delhi government orders.

The rejection prompted Mr Kejriwal's AAP (Aam Aadmi Party) to demand the centre stop interfering in its decisions, particularly since coronavirus cases in the national capital appear to be on the decline; the city has now dropped to 11th place on the list of active cases.

""The centre derives sadistic pleasure by inflicting pain and misery on people of Delhi and undermining the democratically elected government of Delhi,"" AAP spokesperson Raghav Chadha said.

Mr Baijal, who represents the centre and chairs the Delhi Disaster Management Authority, has in the past scrapped a number of others orders pitched by the Delhi government.

In June he cancelled a decision to reserve hospitals (except those run by the centre) for residents of Delhi. He also reversed a decision to test only those showing symptoms and said asymptomatic cases and high-risk contacts of a virus patient should also be tested.

Meanwhile, Mr Kishan Reddy also called on Telangana to increase coronavirus testing.

""I am requesting state government to focus on testing, tracing and treatment. There is a need to increase the number of tests. The more number of the tests, the faster the containment of the disease,"" he added.

Mr Reddy's call to increase testing was the subject on which the Delhi High Court grilled the Kejriwal government this week; the court demanded to know why the less accurate RAT (rapid antigen test) was being favoured over the RT-PCR test.

Delhi, which can conduct 11,000 RT-PCR tests a day but did not carry out more than 600 per day between July 15 and July 23. The drop in RT-PCR tests also coincided with a drop in the number of new cases reported in the city every day.

Mr Reddy also assured Telangana, which has reported over 62,000 COVID-19 cases so far, of support from the centre, pointing out that 1,200 ventilators and large consignments of N95 face masks and PPEs (personal protective equipment) were being to the state.

India is hurtling towards 17 lakh coronavirus cases, of which over 36,000 are deaths and more than 5.65 lakh are active cases. The country took just 73 days to go from one lakh cases to 16 lakh; it reached that mark yesterday. Over 60 per cent of the cases and 50 per cent of deaths have been recorded in July.

With input from PTI",https://www.ndtv.com/india-news/coronavirus-cases-delhi-should-follow-delhi-model-union-ministers-praise-over-covid-outbreak-2272538,2020-08-01T00:00:00+00:00,"""Should Follow Delhi Model"": Union Minister's Praise Over Covid Outbreak",Covid,/Arvind Kejriwal:Delhi,Arvind Kejriwal,Delhi
3,11,"Sushant Singh Rajput case: Investigation will follow money trail, Bihar Police has said

The Bihar government is willing to order a probe by the Central Bureau of Investigation into actor Sushant Singh Rajput's death if his family requests the state to do so, sources have said. The actor's family had filed a cheating case against his girlfriend Rhea Chakraborty.

Chief Minister Nitish Kumar has said he is open to recommending the CBI probe into Mr Rajput's death if the actor's father wants it and requests the state government for it.

The investigation has flared into a tug of war between the Bihar and Mumbai Police, while the Enforcement Directorate, which probes financial crimes, filed a money laundering case against Ms Chakraborty, also an actor, and her family.

""The Chief Minister will definitely act if demand for a CBI inquiry comes from the family of Rajput,"" said Bihar minister Sanjay Kumar Jha, who's a close aide of Nitish Kumar, according to news agency PTI.

Nitish Kumar's willingness to recommend a CBI probe a month after the actor's death comes amid criticism from Rajputs in Bihar, mostly the youth, who are angry over the issue.

The clamour for transferring the police probe to the CBI is growing. Ms Chakraborty on Friday issued a statement on video, refuting the allegations against her, saying, ""Truth will prevail"".

Her statement came hours after the ED filed the money laundering case based on a First Information Report (FIR) by Mr Rajput's father KK Singh against Ms Chakraborty and her family. The police complaint mentions ""suspicious"" transactions in tranches up to Rs 15 crore.

Ms Chakraborty and some others are expected to be called for questioning in the case soon, ED sources have said.

The investigation into the death of the actor will follow the money trail, the Bihar Police has said.

Mr Rajput created two companies with Ms Chakraborty and her brother as directors, the police said. The registered addresses of the two firms are a flat in Raigad's Ulwe town in Maharashtra, owned by Ms Chakraborty's father, investigators have said.

The Bihar Police are checking how money transferred from the actor's account was used. A police team visited several banks in Mumbai and looked into transactions and investments of the companies.

The investigation focusses on whether the investments made by the actor and his girlfriend were clean.

""For a good 45 days, they (Mumbai Police) did not do anything to unravel the mystery shrouding Rajput's death, except for using the time to indulge in photo-op and event management... and now when the Bihar Police team is doing a sincere probe they are creating hurdles for them,"" said Mr Jha, state Water Resources Minister.

The Mumbai Police are conducting a detailed investigation into other angles like professional rivalry and unfair treatment, leading to the actor being sidelined. They have also looked into his finances.

The Bihar government is already supporting the bereaved family in court, with a caveat in the Supreme Court blocking Ms Chakraborty's efforts to transfer the case against her to Mumbai.",https://www.ndtv.com/india-news/if-sushant-singh-rajputs-father-wants-can-recommend-cbi-probe-says-nitish-kumar-2272530,2020-08-01T00:00:00+00:00,"If Sushant Rajput's Father Wants, Can Recommend CBI Probe: Nitish Kumar",Murder,/Rajput:Mumbai,Rajput,Mumbai
4,12,"We must collectively raise our voices and demand 'free Mehbooba Mufti immediately': P Chidambaram

Senior Congress leader P Chidambaram has criticised the centre for extending the detention of former Jammu and Kashmir chief minister Mehbooba Mufti under the stringent Public Safety Act (PSA) for three more months. This would make the duration of her detention longer than a year; she was detained for the first time on August 5 last year, the day the centre scrapped special status to Jammu and Kashmir and divided the state into two Union Territories.

""The extension of the detention of Ms Mehbooba Mufti under PSA is an abuse of law and an assault on the Constitutional rights guaranteed to every citizen. How is the 61 year old former chief minister, a protected person under security guard round the clock, a threat to public safety?"" Mr Chidambaram tweeted.

""She rightly rejected the offer to release her on conditions which any self-respecting political leader would refuse. One of the reasons given for her detention - the colour of her party's flag - was laughable,"" the Congress leader tweeted.

The move to extend Ms Mufti's detention under the PSA came on a day when People's Conference chief Sajad Lone was released from detention just five days short of a year since he was detained over protest against the centre's move on Jammu and Kashmir.

Ms Mufti was first charged under the Public Safety Act six months ago, and this is the third time that she would be charged. The charges against her in the current phase are expiring on August 5.

""Why should she undertake not to speak against the abrogation of Art 370? Is it not part of the right to free speech? I am one of the Counsel appearing in a case in the SC challenging the abrogation of Art 370. If I speak against Art 370 - as I must - is that a threat to public safety? We must collectively raise our voices and demand 'free Mehbooba Mufti immediately',"" Mr Chidambaram tweeted.

Why should she undertake not to speak against the abrogation of Art 370? Is it not part of the right to free speech? — P. Chidambaram (@PChidambaram_IN) August 1, 2020

Under the Public Safety Act or PSA, a person can be detained multiple times without any trial. The rights activism group Amnesty International has called PSA a ""lawless law"".

Omar Abdullah, who was released from detention in the last week of March, just hours before Prime Minister Narendra Modi announced the coronavirus lockdown, had called the extension of Ms Mufti's extension ""unbelievably cruel and retrograde"".",https://www.ndtv.com/india-news/hows-mehbooba-mufti-threat-to-safety-p-chidambaram-on-centres-move-2272521,2020-08-01T00:00:00+00:00,"""How's Mehbooba Mufti Threat To Safety?"": P Chidambaram On Centre's Move",Riot,/Union Territories:Jammu,Union Territories,Jammu
5,16,"Andhra Pradesh has now surpassed Delhi to become the third worst coronavirus-hit state in the country.

Andhra Pradesh reported 1,26,337 COVID-19 cases in the month of July, registering an 865 per cent rise in the number of infections - the most by any state in the country.

From 14,596 cases on June 30, the figure jumped up by 1.26 lakh by July end. East Godavari district, which is the most populous district in the state, saw a record 1,800 per cent jump. The positivity rate - percentage of patients who have tested positive for coronavirus - for July was 11.9 per cent.

On Friday alone, the state reported 10,376 cases, taking tally to 1,40,933 cases. With 68 COVID-19 deaths in last 24 hours, the total fatlaities in the state stand at 1,349.

While the recovery rate is at 45.3 per cent, the overall positivity rate stood at 7.22 per cent.

Andhra Pradesh has now surpassed Delhi to become the third worst coronavirus-hit state in the country. The state has added over 30,636 cases to its tally in the last three days, taking its total of those infected by the deadly virus to 1,40,933, including 1,349 fatalities.

The national capital, which remained in the third spot behind Maharashtra and Tamil Nadu for weeks on the list, added 1,195 cases, taking its total to 1,35,598.

As many as 3,822 patients recovered and were discharged from hospitals in a day. Overall, the state now has 75,720 active cases after 63,864 were cured, the bulletin added.

As per government data, the state completed 19,51,776 tests so far at the rate of 36,550 per million population.

Deputy Chief Minister (Health) AKK Srinivas had recently said the prime reason for the severe spurt in number of cases was the ""extensive"" COVID-19 tests being done in the state.",https://www.ndtv.com/andhra-pradesh-news/andhra-pradesh-witnessed-865-rise-in-covid-cases-in-july-most-by-any-state-2272537,2020-08-01T12:01:15.154890+00:00,"Andhra Witnessed 865% Rise In Covid Cases In July, Most By Any State",Covid,/Pradesh:Delhi,Pradesh,Delhi
6,18,"We must collectively raise our voices and demand 'free Mehbooba Mufti immediately': P Chidambaram

Senior Congress leader P Chidambaram has criticised the centre for extending the detention of former Jammu and Kashmir chief minister Mehbooba Mufti under the stringent Public Safety Act (PSA) for three more months. This would make the duration of her detention longer than a year; she was detained for the first time on August 5 last year, the day the centre scrapped special status to Jammu and Kashmir and divided the state into two Union Territories.

""The extension of the detention of Ms Mehbooba Mufti under PSA is an abuse of law and an assault on the Constitutional rights guaranteed to every citizen. How is the 61 year old former chief minister, a protected person under security guard round the clock, a threat to public safety?"" Mr Chidambaram tweeted.

""She rightly rejected the offer to release her on conditions which any self-respecting political leader would refuse. One of the reasons given for her detention - the colour of her party's flag - was laughable,"" the Congress leader tweeted.

The move to extend Ms Mufti's detention under the PSA came on a day when People's Conference chief Sajad Lone was released from detention just five days short of a year since he was detained over protest against the centre's move on Jammu and Kashmir.

Ms Mufti was first charged under the Public Safety Act six months ago, and this is the third time that she would be charged. The charges against her in the current phase are expiring on August 5.

""Why should she undertake not to speak against the abrogation of Art 370? Is it not part of the right to free speech? I am one of the Counsel appearing in a case in the SC challenging the abrogation of Art 370. If I speak against Art 370 - as I must - is that a threat to public safety? We must collectively raise our voices and demand 'free Mehbooba Mufti immediately',"" Mr Chidambaram tweeted.

Why should she undertake not to speak against the abrogation of Art 370? Is it not part of the right to free speech? — P. Chidambaram (@PChidambaram_IN) August 1, 2020

Under the Public Safety Act or PSA, a person can be detained multiple times without any trial. The rights activism group Amnesty International has called PSA a ""lawless law"".

Omar Abdullah, who was released from detention in the last week of March, just hours before Prime Minister Narendra Modi announced the coronavirus lockdown, had called the extension of Ms Mufti's extension ""unbelievably cruel and retrograde"".",https://www.ndtv.com/india-news/hows-mehbooba-mufti-threat-to-safety-p-chidambaram-on-centres-move-2272521,2020-08-01T12:01:15.155014+00:00,"""How's Mehbooba Mufti Threat To Safety?"": P Chidambaram On Centre's Move",Riot,/Union Territories:Jammu,Union Territories,Jammu
7,19,"Sanghamitra Deb scored 77 per cent in her HSLC exams

A 19-year-old girl from Tripura, who was ""married"" at 15 and is mother to a two-and-a-half-year-old son, has not only passed her Class 12 exams but has secured a top rank.

Sanghamitra Deb was ranked in the top ten in results released by the Tripura Board of Secondary Education on Friday. A student of the Arts stream, she scored an incredible 92.6 per cent to finish ninth amongst students of all streams and seventh in her own.

Ms Deb lives with in-laws in the northeastern state's Gandhigram town, which is located around 10 km from state capital Agartala. Her husband, Raju Ghosh, is a BSF (Border Security Force) soldier stationed in Kashmir.

""I studied (in) the time I got after managing household chores and taking care of my child. My in-laws helped of course. I am very happy with the results. Now I wish to complete graduations too in this manner,"" an elated Ms Deb, the daughter of a farmer in the same region, said.

The student of a local school, she secured 77 per cent in her HSLC (high school leaving exams), which she sat for a year after she was married.

Ms Deb's academic success does not, however, mask widespread concern over child marriages, which remain a serious and perennial problem in rural parts of the state.

According to a report by Young Lives, an agency that studies childhood poverty, data from the National Health and Family Survey indicates Tripura ranks second in terms of child marriages in India; around 21.6 per cent of all marriages here involve those between the age of 15 and 19.

The national average is 11.9 per cent, a statistic that is as concerning.",https://www.ndtv.com/india-news/tripura-woman-19-married-at-15-and-a-mother-gets-top-10-in-board-exams-2272585,2020-08-01T12:01:15.155073+00:00,"Tripura Woman, 19, Married At 15 And A Mother, Gets Top 10 In Board Exams",Covid,/Raju:Agartala,Raju,Agartala
8,20,"Sushant Singh Rajput case: Investigation will follow money trail, Bihar Police has said

The Bihar government is willing to order a probe by the Central Bureau of Investigation into actor Sushant Singh Rajput's death if his family requests the state to do so, sources have said. The actor's family had filed a cheating case against his girlfriend Rhea Chakraborty.

Chief Minister Nitish Kumar has said he is open to recommending the CBI probe into Mr Rajput's death if the actor's father wants it and requests the state government for it.

The investigation has flared into a tug of war between the Bihar and Mumbai Police, while the Enforcement Directorate, which probes financial crimes, filed a money laundering case against Ms Chakraborty, also an actor, and her family.

""The Chief Minister will definitely act if demand for a CBI inquiry comes from the family of Rajput,"" said Bihar minister Sanjay Kumar Jha, who's a close aide of Nitish Kumar, according to news agency PTI.

Nitish Kumar's willingness to recommend a CBI probe a month after the actor's death comes amid criticism from Rajputs in Bihar, mostly the youth, who are angry over the issue.

The clamour for transferring the police probe to the CBI is growing. Ms Chakraborty on Friday issued a statement on video, refuting the allegations against her, saying, ""Truth will prevail"".

Her statement came hours after the ED filed the money laundering case based on a First Information Report (FIR) by Mr Rajput's father KK Singh against Ms Chakraborty and her family. The police complaint mentions ""suspicious"" transactions in tranches up to Rs 15 crore.

Ms Chakraborty and some others are expected to be called for questioning in the case soon, ED sources have said.

The investigation into the death of the actor will follow the money trail, the Bihar Police has said.

Mr Rajput created two companies with Ms Chakraborty and her brother as directors, the police said. The registered addresses of the two firms are a flat in Raigad's Ulwe town in Maharashtra, owned by Ms Chakraborty's father, investigators have said.

The Bihar Police are checking how money transferred from the actor's account was used. A police team visited several banks in Mumbai and looked into transactions and investments of the companies.

The investigation focusses on whether the investments made by the actor and his girlfriend were clean.

""For a good 45 days, they (Mumbai Police) did not do anything to unravel the mystery shrouding Rajput's death, except for using the time to indulge in photo-op and event management... and now when the Bihar Police team is doing a sincere probe they are creating hurdles for them,"" said Mr Jha, state Water Resources Minister.

The Mumbai Police are conducting a detailed investigation into other angles like professional rivalry and unfair treatment, leading to the actor being sidelined. They have also looked into his finances.

The Bihar government is already supporting the bereaved family in court, with a caveat in the Supreme Court blocking Ms Chakraborty's efforts to transfer the case against her to Mumbai.",https://www.ndtv.com/india-news/if-sushant-singh-rajputs-father-wants-can-recommend-cbi-probe-says-nitish-kumar-2272530,2020-08-01T12:01:15.155132+00:00,"If Sushant Rajput's Father Wants, Can Recommend CBI Probe: Nitish Kumar",Murder,/Rajput:Mumbai,Rajput,Mumbai
9,21,"Top US official said he hopes that China and Russia are actually testing the vaccine. (Representational)

America's top infectious diseases official has raised concerns over the safety of COVID-19 vaccines being developed by China and Russia as the world scrambles for answers to a pandemic the WHO warned will be felt for decades.

Six months after the World Health Organization declared a global emergency, the novel coronavirus has killed at least 679,000 people and infected at least 17.9 million, according to an AFP tally.

As countries across Western Europe announced new lockdowns and reported historic economic slumps, the UN health body said the pandemic was a ""once-in-a-century"" crisis and its fallout would be felt for decades.

Several Chinese companies are at the forefront of the race to develop an immunity to the disease and Russia has set a target date of September to roll out its own vaccine.

But US infectious disease expert Anthony Fauci said it was unlikely his country would use any vaccine developed in either country, where regulatory systems are far more opaque than they are in the West.

""I do hope that the Chinese and the Russians are actually testing the vaccine before they are administering the vaccine to anyone,"" he told a US Congressional hearing on Friday.

""Claims of having a vaccine ready to distribute before you do testing, I think, is problematic, at best.""

As part of its own ""Operation Warp Speed,"" the US government will pay pharma giants Sanofi and GSK up to $2.1 billion for the development of a COVID-19 vaccine, the companies said.

In east Asia, territories which saw success in tackling the early wave of the coronavirus are now confronting worrying new spikes.

Japan's Okinawa declared a state of emergency Saturday after a record jump in cases on the island -- many linked to US military forces stationed there -- while Hong Kong opened a new makeshift hospital to house COVID-19 patients.

The finance hub had been a poster child for tackling the coronavirus, with local transmissions all but ended by early summer.

But since July daily cases have risen to record highs, partly brought in by the tens of thousands of people who were exempted from a mandatory quarantine imposed on most arrivals.

Fresh lockdowns

France, Spain, Portugal and Italy all reported huge contractions in their economies for the April-June quarter, while Europe as a whole saw gross domestic product fall by 12.1 percent.

In a sign of the trade-offs being forced on European governments, Britain imposed new lockdowns Friday on millions of households in northern England.

With large Muslim populations in those areas, the ban was painfully timed, on the eve of the Eid-al-Adha festival.

Meanwhile, in the United States -- the world's biggest economy and hardest-hit nation -- jobless Americans were bracing for an end to extra unemployment payments after Congress failed to reach a deal on extending benefits.

It came just a day after the US posted a second-quarter GDP drop of 9.5 percent from the same period a year ago, the worst it had ever recorded.

Sect leader arrested

Fresh off a bout of COVID-19, Brazil's President Jair Bolsonaro said Friday nearly everyone will probably end up catching the new coronavirus, urging Brazilians to ""face up to it"" and saying there was nothing to fear.

His comments came as Brazil's death toll closes on 100,000 and as Latin America's biggest airline LATAM said it was laying off at least 2,700 crew over the coronavirus.

In South Korea the elderly leader of a secretive sect at the center of the country's early coronavirus outbreak was arrested Saturday for allegedly hindering the government's effort to contain the epidemic.

People linked to Lee Man-hee's Shincheonji Church of Jesus accounted for more than half of the South's coronavirus cases in February and March, when the country was enduring one of the worst early outbreaks in the world.

The South has since been returning largely to normal, appearing to have brought the outbreak under control with an extensive ""trace, test and treat"" program.

(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",https://www.ndtv.com/world-news/us-says-it-is-unlikely-to-use-china-russia-coronavirus-vaccines-2272532,2020-08-01T12:01:15.155189+00:00,"US Says It Is Unlikely To Use China, Russia Coronavirus Vaccines",Covid,/Hong Kong:Mumbai,Hong Kong,Mumbai
