,crime,url,text
0,Arson,https://timesofindia.indiatimes.com/city/hyderabad/two-youths-held-for-hurling-petrol-bombs-into-place-of-worship/articleshow/74920868.cms,"Representative image

Download The Times of India News App for Latest City News

Subscribe Start Your Daily Mornings with Times of India Newspaper! Order Now

HYDERABAD: A fortnight after Molotov cocktails (bottles filled with flammable liquid and with a means of ignition) were hurled into a place of worship in Old City, two youths were arrested on Monday night. According to police, the accused duo had taken part in CAA/NRC protests, damaged an ATM centre and an RTC bus before targeting the place of worship.Task Force team nabbed the offenders from their houses in Chandrayangutta and handed them over to Madannapet police for judicial remand. “The accused have confessed to committing the offences. They will be produced before the magistrate,” Madannapet police said. A case was registered under section 295-A (deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs) of IPC against the duo.The secretary of a worship place in Madannapet had lodged a complaint with police on March 14, alleging that some unidentified persons had hurled a petrol bomb into the worship place premises. “Broken pieces of the bottle were found in front of the worship place’s door at 4.30 am when one of the workers went there to open it. When the premises was searched, two more petrol bombs were found atop the worship place,” the complainant said.Taskforce Additional DCP G Chakravarthi said during the interrogation, the duo confessed that during protests against CAA and NRC, they had resorted to acts of arson by setting fire to a private bank"
1,Arson,https://timesofindia.indiatimes.com/city/vijayawada/govt-withdraws-cases-related-to-tuni-arson-during-2016-kapu-stir/articleshow/74699400.cms,"Download The Times of India News App for Latest City News

Subscribe Start Your Daily Mornings with Times of India Newspaper! Order Now

Vijayawada: The state government on Wednesday withdrew prosecutions related to Tuni arson in 2016 during Kapu reservation agitations and in the cases related to attacks on Reliance properties in Anantapur, Guntur and other places across the state in 2010 when then chief minister Y S Rajashekhar Reddy passed away.Based on the report submitted by director general of police, the government decided to withdraw prosecution in 51 cases registered in connection with the Kapu Reservation agitation at Tuni in East Godavari district, said the GO 312 issued by the home department.Similarly, the government issued GO 314 withdrawing the prosecution against the accused in the cases registered in connection with the attacks took place on Reliance properties at Anantapur, Guntur and other places across the state.Various Reliance properties were attacked after reports about a conspiracy theory on the demise of Y S Rajasekhar Reddy. The GO said that the incidents took place out of emotional outburst and the cases were being withdrawn.The government had ordered inquiries by Crime Investigation Department (CID) after agitators torched Ratnachal Express in Tuni. Several YSRC leaders were grilled by the CID as suspects for alleged conspiracy in the issue."
2,Arson,https://timesofindia.indiatimes.com/city/lucknow/lucknow-woman-cries-arson-neighbours-booked/articleshow/74589215.cms,"Representative image

Download The Times of India News App for Latest City News

Subscribe Start Your Daily Mornings with Times of India Newspaper! Order Now

LUCKNOW: A resident of Yamuna Apartments in Gomtinagar Extension has accused her neighbour of setting on fire interior decoration items she had kept in her balcony.Police have booked four residents of the apartment complex on charges of assault, causing damage to property and mischief by fire with intent to destroy a house. Police said the 30-year-old woman, who lives on the sixth floor, alleged that her neighbour had been upset with the ongoing interior project in her flat. On Tuesday, he along with three others allegedly threatened her to stop work and when she didn't pay heed, set afire the items in the balcony."
3,Arson,https://timesofindia.indiatimes.com/city/nagpur/maharashtra-maoist-cadre-wife-who-masterminded-jambhulkheda-blast-nabbed/articleshow/74479660.cms,"The Gadchiroli police arrested divisional committee member Dinkar Gota and his wife Sunanda on Wednesday.

Download The Times of India News App for Latest City News

Subscribe Start Your Daily Mornings with Times of India Newspaper! Order Now

GADCHIROLI: Divisional committee member Dinkar Gota and his wife Sunanda were arrested by Gadchiroli police on Wednesday. Gota, having 108 offences, was the mastermind behind the Dadapur arson in which 36 vehicles were torched on May 1 last year which had followed by a blast at Jambhulkheda in which 15 jawans and one civilian driver were killed later in the day.Gota and his wife Sunanda had almost Rs 18 lakhs rewards on them.SP Shailesh Balkawade said the special investigation team set up after the arson and blast were following Gota and his wife for last several months. ""We have procured the custody remand of the couple for 14 days from the court for further investigation,"" he said.Balkawade also said the rest of the accused in the arson would be soon picked up. ""We have announced special rewards for the entire team behind the arrests,"" he said. ""Our intelligence unit and technical team needs special mention for the operation,"" he said.Balkawade also said that a camp of the Maoists was also busted at Khobramenda in north Gadchiroli in the early hours of the day."
4,Arson,https://timesofindia.indiatimes.com/city/kolkata/abvp-supporters-commit-arson-at-ju-gate-ransack-rooms-on-campus/articleshow/71209836.cms,"This story is from September 20, 2019

ABVP supporters protest outside Jadavpur University

The clash spills over outside campus

The ransacked Arts Faculty Students’ Union room

Download The Times of India News App for Latest City News

Subscribe Start Your Daily Mornings with Times of India Newspaper! Order Now

KOLKATA: Anarchy took over the Jadavpur University campus on Thursday evening as around 200 supporters of ABVP stormed the premises wearing bike helmets, armed with sticks and bottles. They ransacked the Arts union room near gate No. 4, the ground-floor corridor of the UG Arts building, set fire to at least six cycles and blocked the road outside the university for over an hour.The rampage began around 7pm and continued for over an hour. The group dispersed only after they had confirmation from their own leaders that central minister Babul Supriyo and governor Jagdeep Dhankhar had left the campus through another gate. Members of Durga Vahini, the women’s wing of Vishwa Hindu Parishad, also joined in the mayhem.When the marauding crowd finally left the campus around 8.15pm, it left behind bonfires that the fire brigade had to douse. ABVP was painted all over a union room and all the furniture smashed. At least one student and an amateur photographer suffered head injuries.Tea stalls outside the university were also set on fire. Pedestrians who had to walk the distance after traffic movement was stalled on Raja SC Mullick Road ran helter-skelter after being chased by ABVP supporters. “I was taking photographs of the protest when a group of ABVP supporters attacked me and snatched my camera. They hit me on the head with a stick. I ran into the university, where students gave me some first aid and later rushed me to hospital,” said Subhasis Das, a resident of Mukundapur, an amateur documentary filmmaker.Homemaker Sarmishtha Das had to scamper past the campus clutching her 14-year-old daughter in school uniform. “We had stopped to see what had happened, when a group of youths set fire to a cycle and began chasing everyone around, brandishing sticks. It was scary,” said the Baghajatin resident.University students said almost all men who were behind the attack were outsiders and had entered the campus to cause trouble. “Since afternoon, we had been organising a peaceful protest against BJP leader Babul Supriyo on our campus. Ours was an organised political programme but at no point did the protest turn violent. But look at what ABVP has done. They have brought in people from outside and vandalised our campus and spread panic outside,” said Roumya Chandra, a second-year postgraduate student of international relations.ABVP supporters said they had to call in reinforcements as there were only 50 of them on campus when hundreds of students gheraoed the minister, who was invited by ABVP to a freshers’ programme. “Since the authorities were not willing to call police and protesters were not even willing to listen to the appeals of the governor and gheraoed him on campus with the minister, we had to call our members from other colleges. That was the only way we had to get the guests out of the campus safely,” said Suranjan Sarkar, an ABVP leader and a first-year postgraduate student of mass communication.On why they had resorted to such violence, another ABVP leader, who is not a student at the university, said: “Any action will have consequences. SFI and TMC supporters had been assaulting our supporters since the afternoon and even molested one of our senior leaders. How long could we tolerate such things,” said Deep Biswas, a senior ABVP leader.The vandalism left JU students and teachers in shock. Samantak Das, professor of comparative literature, stood in disbelief seeing cops guarding JU’s main gate, with ABVP supporters setting fire to cycles of guards and students. His motorbike, too, was damaged. Nandini Mukherjee, a computer science and engineering professor, said: “I have never witnessed violence like this on campus. This is not the Jadavpur University I have known for long. I am scared for the students.”A police officer sent to the spot pleaded helplessness. “We cannot take any action on the campus unless we are asked by the authorities. When the protesters blocked the road outside, we tried to pacify them and did our best to limit the trouble to one area,” said a senior Kolkata Police officer."
5,Arson,https://timesofindia.indiatimes.com/city/indore/fire-erupts-at-ujjain-admn-block-arson-suspected/articleshow/74216435.cms,"Download The Times of India News App for Latest City News

Subscribe Start Your Daily Mornings with Times of India Newspaper! Order Now

Ujjain: A major fire broke out in the record room of Vikramaditya administrative block of Ujjain destroying important documents in the early hours of Wednesday.The fire started on the second floor of the block at Kothi Palace at around 1 am and soon spread across the room filled with a huge stock of paper, sub-divisional magistrate RP Tiwari said.“Old records of the divisional commissioner’s office were destroyed in the fire. The cause of the fire is not known, but chances of arson can’t be ruled out. Police are investigating the matter,” he said.The first information of the fire was received by the police control room, following which the fire brigade sprung into action. The fire was doused after nearly four hours of toil.“Six water tankers made 10 trips to the site and used 50,000 l water to douse the flames,” fire officer Ajay Singh Rajput told TOI adding that most of the files stored in the record room were lost – both in the fire and water used to douse it.Sources said the documents were of four decades from 1960 and contained information about revenue related matters.The Kothi Palace, where the administrative block is situated, is a 125-year-old building. The record room was kept locked. Firefighters found that the doors were completely destroyed and the locks were broken, indicating forced entry.ASP Rupesh Dwivedi said Madhav Nagar police station has registered a case of fire. “We are also exploring the arson angle. A forensic team was on the spot to probe the matter,” he said.Police were sifting through CCTV footages of localities nearby to check movement of any perpetrator."
6,Arson,https://timesofindia.indiatimes.com/world/uk/how-a-virus-conspiracy-theory-fueled-arson-and-harassment-in-britain/articleshow/75172311.cms,"A general view of the Belfast City Centre as the spread of the coronavirus disease (COVID-19) continues, Belfa... Read More

Download The Times of India News App for Latest World News

Subscribe Start Your Daily Mornings with Times of India Newspaper! Order Now

LONDON: On April 2, a wireless tower was set ablaze in Birmingham. The next day, a fire was reported at 10 p.m. at a telecommunications box in Liverpool. An hour later, an emergency call came in about another cell tower in Liverpool that was going up in flames.Across Britain, more than 30 acts of arson and vandalism have taken place against wireless towers and other telecom gear this month, according to police reports and a telecom trade group. In roughly 80 other incidents in the country, telecom technicians have been harassed on the job.The attacks were fueled by the same cause, government officials said: an internet conspiracy theory that links the spread of the coronavirus to an ultrafast wireless technology known as 5G. Under the false idea, which has gained momentum in Facebook groups, WhatsApp messages and YouTube videos, radio waves sent by 5G technology are causing small changes to people’s bodies that make them succumb to the virus.The incidents starkly demonstrate how coronavirus conspiracy theories have taken a dark turn by spilling out into the real world. In just a few weeks, the pandemic has given preexisting fringe ideas online new urgency by playing on people’s fears.Before the coronavirus, rarely did such theories cause as much tangible harm so quickly, disinformation researchers said.In the United States, one person died after self-medicating with chloroquine, which was touted online as a miracle cure for the coronavirus even though its efficacy is unproven. And Dr. Anthony Fauci, the head of the U.S. National Institute of Allergy and Infectious Diseases, was assigned more security this month after unfounded theories spread that he was part of a secret cabal working to undermine President Donald Trump.“Most conspiracies stay online, but this is having real-world impact,” said Alexandre Alaphilippe , executive director of the EU DisinfoLab, a Brussels-based group tracking virus conspiracy theories. He called managing pandemic misinformation “a new problem” because the disease is global and people everywhere are hunting for information.The false theory linking 5G to the coronavirus has been especially prominent, amplified by celebrities like John Cusack and Woody Harrelson on social media. It has also been stoked by a vocal anti-5G contingent, who have urged people to take action against telecom gear to protect themselves.The idea has deep internet roots. An analysis by The New York Times found 487 Facebook communities, 84 Instagram accounts, 52 Twitter accounts, and dozens of other posts and videos pushing the conspiracy. The Facebook communities added nearly half a million new followers over the past two weeks. On Instagram, a network of 40 accounts nearly doubled its audience this month to 58,800 followers.On YouTube, the 10 most popular 5G coronavirus conspiracy videos posted in March were viewed over 5.8 million times. Today, the conspiracy can be found on Facebook in over 30 countries, including Switzerland, Uruguay and Japan.British politicians said the conspiracy theory and the violent acts it was causing were unacceptable.“This is nonsense of the absolute highest order,” said Julian Knight, a member of Parliament who leads a committee investigating coronavirus-related online misinformation. He said Facebook and YouTube needed to “get a grip” on the situation or risk undermining the crisis response.Knight added that the spread of 5G conspiracies raised alarms about how information about a future coronavirus vaccine would be disseminated.“If we were to get a vaccine for COVID-19, can we trust the social media companies to ensure that the right public health messages are put out about that vaccine?” he asked. “That could be a question of life and death for many people.”Facebook, which also owns Instagram and WhatsApp, said it was “starting to remove false claims that 5G technology causes the symptoms of or contraction of COVID-19.” YouTube said it would reduce recommendations of videos linking the coronavirus to 5G, while Twitter said it had taken action against misleading and harmful content about the illness.Wild claims about 5G are not new. The technology has an outsize political importance because it may provide countries with a competitive edge, with faster wireless speeds enabling more rapid development of driverless cars and other innovations.Internet trolls have seized on 5G and its political implications to sow fear, leading to protests in the United States and elsewhere against the technology in recent years. Russians have pushed claims that 5G signals were linked to brain cancer, infertility, autism, heart tumors and Alzheimer’s disease, all of which lacked scientific support."
7,Arson,https://timesofindia.indiatimes.com/city/chandigarh/book-dera-chief-in-240-violence-arson-cases/articleshow/73788004.cms,"Dera Sacha Sauda chief Gurmeet Ram Rahim Singh

Petitioner cites statements of Ram Rahim’s aides

Download The Times of India News App for Latest City News

Subscribe Start Your Daily Mornings with Times of India Newspaper! Order Now

CHANDIGARH: A plea filed in the Punjab and Haryana high court has sought directions to book Dera Sacha Sauda (DSS) chief Gurmeet Ram Rahim Singh in all 240 FIRs pertaining to violence and arson that took place in Haryana on August 25, 2017, following his conviction in sadhvi rape cases Directions have also been sought from the HC for action against the then commissioner of police Panchkula for misleading the court in his written statement dated September 25, 2018, of no proof against the Dera chief The petitioner claimed there is sufficient evidence available in the report filed in the trial court against the Dera chief in the lead FIR number 345 registered by Panchkula police in the violence case.The application, which is expected to come up for hearing on February 4 with the main Dera violence case, has been filed by Sukhvinder Singh (73), a former Punjab cop from Patiala, who had earlier sought a probe in the Maur blast case.While citing statements/depositions made by several persons during the trial of Panchkula violence cases, the applicant claimed that Ram Rahim was the mastermind of all incidents of arson and violence that occurred at Panchkula on August 25, 2017.According to the petitioner, Dera chief’s former aide, Subhash Chander while disposing before the judicial magistrate Panchkula, had said that Ram Rahim had in his presence directed Dr Aditya Insan to orchestrate arson and rioting in Panchkula and other places on August 25, 2017, if he was convicted in the Sadhvis' rape case. Similarly, the applicant also referred to the statement of another of Baba's aides Rakesh Kumar alias Gurleen that Gurmeet Ram Rahim had in his presence directed Dr Aditya Insan and his sociallyadopted daughter Honeypreet to orchestrate arson and rioting in Panchkula on August 25.Some more statements have been mentioned by the applicant submitting that a meeting to discuss violence in Panchkula on August 25 was held on August 17, 2017, at Terawas, the dera chief ’s official residence in Sirsa dera.The applicant has also referred to statements to the media by senior IPS officer K K Rao, who was deputed at Panchkula court on the date of verdict on August 25, 2017, claiming that the Dera chief had tried to give a signal for violence after his conviction by demanding a red-coloured suitcase."
8,Arson,https://timesofindia.indiatimes.com/city/kolkata/howrah-tmc-neta-killed-arson-follows/articleshow/73502257.cms,"This story is from January 22, 2020

Download The Times of India News App for Latest City News

Subscribe Start Your Daily Mornings with Times of India Newspaper! Order Now

Howrah: Trinamool leader Sheikh Asadul Rahman (52) was murdered in Bagnan on Tuesday morning, triggering arson and protests in the area with his supporters blocking roads and burning tyres.Rahman’s bullet-riddled body was found on Koria bridge in Bainan locality. Police said they found his mobile phone but its call list had been erased. Rahman was TMC’s Bainan president. His wife Farida Begum alleged the murder was the fallout of a “deep-rooted” conspiracy within TMC.Bagnan TMC MLA Arunabha Sen said: “We are taking her allegations with all seriousness. He was a very popular leader.” Howrah SP Soumya Ray said: “We have started an investigation.”"
9,Arson,https://timesofindia.indiatimes.com/city/bhopal/10-janpath-a-centre-of-violence-arson-alleges-shivraj/articleshow/73146334.cms,"This story is from January 8, 2020

Shivraj Singh Chouhan

Download The Times of India News App for Latest City News

Subscribe Start Your Daily Mornings with Times of India Newspaper! Order Now

BHOPAL: BJP vice-president Shivraj Singh Chouhan sparked controversy on Tuesday by alleging that 10 Janpath — the residence of Congress president Sonia Gandhi — is the “centre of violence and arson in the country”. Congress reacted by saying that Chouhan has been sidelined in BJP and is trying to be in news by making bizarre statements.“Congress has been involved in the biggest mob lynching. After the assassination of Prime Minister Indira Gandhi in 1984, Congress pushed the entire country into violence by saying that ‘when a big tree falls, the earth shakes’. Questions are still being raised on Congress’s involvement in mob lynching. Now, the party is trying to push the country into a spiral of violence in the name of Citizenship Amendment Act (CAA) and 10 Janpath is its centre,” Chouhan told mediapersons in Ludhiana.Chouhan, Madhya Pradesh’s CM for three terms, had triggered a major controversy in August last year when he called former Prime Minister Jawaharlal Nehru a “criminal”. Chouhan had attacked Sonia Gandhi recently, asking why she did not say a word in Parliament during the debate on Citizenship Amendment Bill, but staged protests after it became a law.Justifying the implementation of CAA, Chouhan said that during Partition, Hindus, Sikhs and other minorities living in Pakistan had suffered severe torture. “Punjab suffered the most. Minorities in Pakistan are still suffering torture and people are not safe. They are living in fear,” said Chouhan.“The incident of stone pelting in Nankana Sahab is unfortunate. Congress is misleading the public to instigate violence. I want to ask Sonia ji, Punjab CM Amrinder Singh ji and MP CM Kamal Nath ji, what is wrong with CAA? What are they opposing? They should come clear on whether they do not want Hindus, Sikhs and other minorities, who have lost their lives in Pakistan, Afghanistan and Bangladesh, to be given Indian citizenship? They should make it clear if they want these Hindus, Sikhs, Christians, Buddhists and Parsis to be sent back to Pakistan to die,” said Chouhan.The BJP leader questioned Congress’s “silence” on the attack on the Nankana Sahab gurdwara in Pakistan. “I want to ask why Sonia ji and Rahul ji took 15 hours to condemn the attack on Nankana Sahab? Leaders from Punjab, who talk loud, did not react on the attack. Is their friendship with Imran so strong that they do not think of their own country? This is Congress character and I condemn this,” said Chouhan.The former CM accused Rahul and Priyanka of creating misconception in the country on CAA. “But we will not let them succeed. Our leaders, including Prime Minister Modi and BJP national president Amit Shah and acting president JP Nadda are touring the country to make people aware of citizenship law,” he said.The Congress reacted strongly to Chouhan’s allegation. “Chouhan has turned irrelevant since he lost power. He has been sidelined in his own party and wants to remain in news through bizarre statements,” said Congress state media coordinator Narendra Singh Saluja. “Chouhan has been shunted out of active politics. He should clarify who was held with bombs and explosives. He should also identify who were charged with anti-national activities for being involved in explosions.”"
