,index,text,url,crime,location,region,city,date,headline
0,20,"Passengers with their luggage on their way to reach Howrah station and board a long route train, during the complete lockdown in the state to curb the spread of coronavirus, in Kolkata. (PTI)

It has been four months to the day since India was put into lockdown to ward off the coronavirus. During the anxious days of Lockdown 1.0,the peak was promised in a few weeks, and then late May. But when the lockdown was eased in May, the only peaks in sight were the Himalayas from Saharanpur.

Where then are the peaks of COVID? In the last few weeks, talk of India soon approaching the COVID-19 peak have begun to be heard in murmurs.

First, it was Public Health Foundation of India president Dr K Srinath Reddy who said that coronavirus incidence could peak in mid-September in India but added that different states could witness different peak periods. Now, it is Prof GVS Murthy of the Indian Institute of Public Health who has reiterated Dr Reddy's message elaborately.

There cannot be a uniform peak in COVID-19 cases in a large country like India and each state has its own trajectory based on when people there were exposed to the infection, Murthy told PTI on Saturday.

Now, among the states and Union Territories, Delhi is predicted to peak by the end of July or early August. While Tamil Nadu, Karnataka, Telangana, Andhra Pradesh and Maharashtra – some of the worst-affected states in India – are likely to witness the corona peak in September, which is in line with Dr Reddy's prediction.

South of Vindhyas: Come September

""States like Telangana, Karnataka, Andhra Pradesh and Tamil Nadu should be able to achieve the maximum number of cases by mid-September,"" Murthy said, adding that these states are currently reporting high numbers but won't do so after mid-September.

Tamil Nadu may peak a bit quicker because it boiled up faster. The state with over 2 lakh confirmed cases of COVID-19 can witness its corona peak by the middle or the third week of August. However, the influx of guest workers made it worse for the southern state. Health minister C Vijaybaskar had blamed guest workers, especially those coming from Maharashtra, for the spurt in cases.

Maharashtra has also been held up as one of the contributors to the spurt in Karnataka. The latter state has nearly 91,000 cases but what is more worrying is the slipping recovery rate of patients. Karnataka now has a recovery rate of around 37 per cent, which is much lower than the national average of 63.54 per cent. Moreover, Karnataka's state of affairs is worth noting because just few weeks back, it was being hailed as a success story in contact tracing.

Already under the scanner for alleged under-reporting of cases and fatalities, Telangana has become one of the corona hubs since June. Since June 3, when the state crossed 3,000 cases, the total number of cases has risen by 1,637 per cent. In addition, the state has one of the lowest testing rates, with just 3,37,771 people tested so far.

With testing likely togo up after multiple criticisms of the state administration's handling of the pandemic, there are also chances of cases piling up. So, Telangana witnessing a September looks like a possibility.

Kerala, however, deserves special mention. ""Kerala,you have seen now. They thought they had seen the end of COVID. Suddenly, in the last over 10 days, Kerala has had a much larger number of cases than before,"" Murthy told PTI.

Kerala was being hailed as a model state even by the WHO, which said, “The state government’s prompt response to COVID-19 can be attributed to its experience and investment made in emergency preparedness and outbreak response in the past”. However, the relaxation of the lockdown and the return of Non-Resident Keralites contributed to the rise in cases.

That Kerala has recorded over 1,000 cases thrice in the last four days, is a reminder that the virus is not going away anytime soon.

Guest workers delay peak in states

However, states like Jharkhand, Murthy said, may peak at a later time as the virus began to spread only after the return of guest workers from COVID-19 hubs like Mumbai and Delhi.

""In states like Jharkhand, Chhattisgarh and parts of Eastern Uttar Pradesh, the peak will take much longer. The peak would be somewhere towards the end of September or October for those states which had low reporting earlier,"" he said.

Murthy's assessment specially holds true in the case of Bihar and Uttar Pradesh – two of India's biggest migration pools.

As noted in an earlier article, Bihar and Uttar Pradesh had very low rates of infection in comparison to their populations until April 30. That date holds a major significance in India's lockdown story because the Central government began running special trains to ferry guest workers from the next day. Consequently, the numbers of COVID-19 cases began to rise in these two states.

In terms of numbers, Bihar just had 425 confirmed cases of coronavirus on April 30. It now has 36,314 cases of coronavirus. Percentage-wise, this translates to a whopping 8,444 per cent rise in cases. Moreover, Bihar continues to lag behind in testing its population, with just 4.42 lakh tested so far.

Uttar Pradesh does not fare any better. The state has 63,742 confirmed cases of COVID-19. This figure was just 2,211 on April 30. So, there has been a 2,780 per cent rise in the total cases of coronavirus. Notably,eastern UP, economically backward and sending more migrants to West and South India, became the new cause for concern after the influx of guest workers. Varanasi, in eastern UP, is the third-biggest corona hub in UP after the Lucknow-Kanpur urban agglomeration.

Chhattisgarh is an interesting case. The state just had 40 cases on April 30 but now has nearly 7,000 cases – a massive spurt of over 17,000 per cent in less than three months. Interestingly, the state was being hailed for its effective lockdown before returning guest workers undid the gains.

Delhi to see an early peak

On Saturday, Delhi CM Arvind Kejriwal declared victory against the COVID-19 pandemic but said the battle is far from over. He said in the last one month, the number of coronavirus cases in Delhi has gone down,deaths have reduced, recovery rate has improved and positivity ratio has lowered.

There is truth to Kejriwal's statement. The number of coronavirus cases in June rose by 319 per cent but only by 48.27 per cent in the 25 days of July. Most likely, the growth rate will still be in two digits by the end of July, when Murthy predicts the city-state's corona cases will peak. The recovery rate, too, has improved from 66.79 per cent on June 30 to 87.29 per cent on July 25.

Thus, one may even infer that Delhi, aided by superior medical infrastructure and testing facilities, may already be in the peak stage and the coming few weeks could see a further reduction in the total number of cases.

But implicitly, Murthy may have also reinforced the notion that urban areas equipped with better infrastructure can ward off epidemics better than underdeveloped regions.

Long story in short: India has to brace for a long haul before the only peak in people’s minds will be the snow-clad Himalayan peaks.",https://www.deccanchronicle.com/nation/current-affairs/250720/covid-19-in-india-delhi-may-peak-in-a-week-but-the-south-has-to-wait.html,Covid,/Uttar:Ghaziabad,Uttar,Ghaziabad,2020-07-25 23:03:00+05:30,"COVID-19 in India: Delhi may peak in a week, but the South has to wait for September"
1,21,"The Congress Party decided to make the Rajasthan crisis a fight to the finish and said on Saturday that it would hold protests in front of the Rashtrapati Bhavan in Delhi and all Raj Bhawans across the country from Monday and launch an online campaign to protest against the BJP’s “conspiracy” to topple its government in the state.

Rajasthan chief minister Ashok Gehlot said that the party might also approach President Ram Nath Kovind.

“We will sit on a dharna outside the Rashtrapati Bhavan,” Mr Gehlot said after a meeting of the state Cabinet, which had met to re-draft a proposal to governor Kalraj Mishra to call an emergency session of the state Assembly.

Mr Gehlot also indicated that the MLAs in his camp, currently at Jaipur’s Hotel Fairmont, might have to stay there for at least 21 days more.

In Delhi, a senior Congress leader told this newspaper that MPs, MLAs and all other office bearers have been told to launch an online campaign against the BJP from Sunday.

Congress workers staged demonstrations across Rajasthan, specially in Jaipur and other district headquarters, on Saturday after the Rajasthan governor refused to call an emergency Assembly session to let Mr Gehlot prove his majority on the floor of the House.

Party workers demanded that the governor convene a session of the Assembly. In Jaipur, a demonstration was held at the Youth Congress office.

“The BJP is conspiring to topple our government and the public is watching this. Efforts are also being made by invisible powers sitting in Delhi to influence the governor. People want the elected government to complete its tenure,” state Congress president Govind Singh Dotasara said, giving a call for holding the agitation.

The BJP on its part demanded the resignation of Mr Gehlot for protesting at the Raj Bhawan on Friday.

BJP leader Gulab Chand Kataria said: “We have demanded President’s Rule in the state. Chief minister Ashok Gehlot should resign for the kind of language he used Friday.”

Meanwhile, the Cabinet meeting discussed six points raised by governor Kalraj Mishra for calling an Assembly session, sources said. Congress chief spokesperson Randeep Singh Surjewala said the governor has given a note to Mr Gehlot seeking clarifications. “The governor informed that he will abide by the Constitution and will take a decision without being under any pressure,” Mr Surjewala said.",https://www.deccanchronicle.com/nation/politics/260720/rajasthan-political-crisis-floor-test-or-we-will-protest-says-gehlot.html,Riot,/Said:Jaipur,Said,Jaipur,2020-07-26 11:35:00+05:30,"Rajasthan political crisis: Floor test or we will protest, says Gehlot"
2,0,"Uddhav Thackeray said the Ram temple issue has a background of struggle.

Maharashtra Chief Minister Uddhav Thackeray has said the ground-breaking ceremony for the Ram temple construction in Ayodhya can be conducted through video-conference in the wake of the COVID-19 pandemic.

Mr Thackeray, who is also president of the Shiv Sena, said he can go to Ayodhya in Uttar Pradesh for the ceremony, but asked if lakhs of ""Ram bhakts"" can be stopped from going there.

According to members of the Shri Ram Janmabhoomi Teertha Kshetra Trust, Prime Minister Narendra Modi is likely to visit Ayodhya on August 5 for the ""bhoomi pujan"" ceremony to begin the construction of the Ram temple.

""An e-bhoomi pujan can be done. The ground-breaking ceremony can be held through video-conference. This is an event of joy, and lakhs of people would be interested in attending the ceremony. Will we allow the spread of coronavirus?"" Mr Thackeray said in an interview published in the Shiv Sena mouthpiece ''Saamana'' on Sunday.

He said the Ram temple issue has a background of struggle.

""This is not an ordinary temple. Today, we are fighting the coronavirus pandemic and religious gatherings are prohibited. I can go to Ayodhya for the ceremony, but what about lakhs of Ram bhakts. Will you stop them? You can do e-bhoomi pujan through video-conference,"" he suggested.

Mr Thackeray recalled that the last time when he had gone to Ayodhya, he was stopped from performing ''aarti'' at the Saryu river there since the COVID-19 pandemic spread had just started.

""Before that I had seen huge crowds on the river banks. Ram Mandir is a matter of faith. How can you stop people from going there?"" he asked.

Mr Thackeray visited Ayodhya in March to commemorate 100 days in office.

He assumed office as the chief minister of the Sena- led Maha Vikas Aghadi (MVA) government on November 28 last year, after his party joined hands with the NCP and the Congress.",https://www.ndtv.com/india-news/maharashtra-chief-minister-uddhav-thackeray-ram-temple-bhoomi-pujan-can-be-done-via-video-link-2269022,Covid,/Ayodhya:Lucknow,Ayodhya,Lucknow,,Ram Temple Bhoomi Pujan Can Be Done Via Video Link: Uddhav Thackeray
3,1,"Madhya Pradesh Chief Minister Shivraj Singh Chouhan has coronavirus (File)

Madhya Pradesh Chief Minister Shivraj Singh Chouhan, who on Saturday confirmed he had tested positive for COVID-19, tweeted Sunday morning to say that he is ""fine"" and to offer his praise for front-line workers in the war on coronavirus.

The Chief Minister also repeated his warnings from yesterday, when he urged people to follow guidelines, such as social distancing and the use of face masks.

""I am fine, my friends. The dedication of coronavirus warriors, who selflessly risk their lives, is praiseworthy. I salute all coronavirus warriors of the state,"" Mr Chouhan tweeted from Bhopal's Chirayu Hospital, where he was admitted yesterday.

""Keep two metres distance, wash your hands frequently and wear face masks - these are the biggest weapons we have to avoid the coronavirus. I appeal to all people - use these weapons for yourself and your loved ones,"" he said.

""All of you be careful, stay safe and healthy. This is what I pray to God,"" Mr Chouhan added.

On Saturday Mr Chouhan had tweeted that he had tested positive for the virus despite his best efforts to avoid infection and warned that ""just a little carelessness invites the coronavirus"".

Tweeting this morning Mr Chouhan said that despite the threat of infection there was ""no need to fear"" and urged those showing symptoms to get themselves tested.

""If you are infected, there is no need to fear. Do not hide symptoms but tell doctors immediately, so treatment can be started. Timely treatment will make you healthy,"" he said.

Madhya Pradesh has nearly 27,000 COVID-19 cases, of which more than 7,600 are active and 799 are deaths linked to the virus.

India has recorded a surge in COVID-19 cases in the past weeks, with over 45,000 new cases detected every day since July 23. The total number of confirmed coronavirus cases is rapidly approaching 14 lakh; of these more than 4.67 lakh are active cases and over 32,000 are deaths linked to the virus.

The spike in cases, coinciding with the staggered relaxation of lockdown guidelines in non-containment zones of the country, has propelled India to third on the list of most affected nations.

Only the United States (41.78 lakh cases) and Brazil (23.94 lakh cases) are worse off.",https://www.ndtv.com/india-news/madhya-pradesh-chief-minister-shivraj-singh-chouhan-covid-19-positive-if-infected-dont-fear-shivraj-singh-chouhan-on-testing-covid-positive-2269021,Covid,/The United States:Mumbai,The United States,Mumbai,,"""If Infected, Don't Fear"": Shivraj Singh Chouhan On Testing Covid Positive"
4,4,"Uddhav Thackeray said he hadn't switched sides, but only entered into an alliance.

Maharashtra Chief Minister Uddhav Thackeray has dared the opposition to topple his government and said though it is a ""three-wheeler"" government, he is firmly in control of its steering wheel.

Mr Thackeray, who is also president of the Shiv Sena, said his alliance partners - NCP and Congress - are ""positive"" and the Maha Vikas Aghadi (MVA) government is benefitting from their experience.

He also took an aim at the Centre's ambitious Mumbai- Ahmedabad bullet train project, saying he would rather prefer such a high speed link between the state capital and Nagpur.

""The future of my government is not in the hands of the opposition. The steering is in my hands. A three-wheeler (auto-rickshaw) is a vehicle of poor people. The other two are sitting behind,"" Mr Thackeray said in the second and last part of his interview published in Shiv Sena mouthpiece ''Saamana'' on Sunday, ahead of his 60th birthday on Monday.

""Why wait for September-October as is being speculated. Topple the government right now since you get pleasure in toppling. Some people derive pleasure in constructive work while some are happy in destruction. If you feel happy in destruction, go ahead,"" he said.

""You say the MVA government is formed against the democratic principles but when you topple it, is it democracy?"" the chief minister asked.

Notably, his predecessor Devendra Fadnavis earlier compared the ruling MVA, comprising the Shiv Sena and its ideological opponents Congress and NCP, with a three-wheeler, auto-rickshaw, and raised doubts over its stability.

To a question, Mr Thackeray said he hadn't switched sides, but only entered into an alliance.

""I did this because the purpose with which I had joined hands earlier turned out to be hollow,"" he said.

Asserting that the party ideology is important, he said, ""Show me one leader who has reached the top position in the party which he has defected to. It is all use and throw policy.""

Targeting the Mumbai-Ahmedabad bullet train project, he said, ""A three-wheeler is a vehicle of poor people. If I have to choose between a bullet train and an auto-rickshaw,I will chose the auto-rickshaw. If people don't want a bullet train, then it will not happen,"" he said.

""If my government is a three-wheeler, it is moving in a proper direction, why should you have stomachache?"" he said in a veiled attack at the opposition BJP.

Mr Thackeray said when he attended the NDA meeting last time, ""there were 30 to 35 wheels like a railway train"".

The chief minister said he would scrap projects which people feel are unwanted.

He said MoUs worth Rs 16,000 crore signed recently are in initial stages and more investments are on the anvil.

""If the state requires a bullet train, I would demand a bullet train to connect Mumbai and Nagpur. I would like a bullet train which connects my state capital and the second capital. The feeling of neglect among people of Vidarbha would be wiped out. Just like the Mumbai Nagpur Samruddhi corridor, I would be happy with a bullet train,"" he said.

He also said the Congress's grievance of being neglected in the three-party alliance government was resolved after his meeting with the state Congress leaders.

""I have good coordination with (NCP chief) Sharad Pawar. I make a phone call to (Congress president) Sonia Gandhi some times,"" he said.

Mr Thackeray asserted that the tripartite MVA government was functioning well.

""I admit that in the last few months, face-to-face meetings haven't happened. One more minister is coronavirus positive now after Jitendra Awhad, Ashok Chavan and Dhananjay Munde. All ministers are in touch with each other over phone or through video conferencing,"" he said.

Mr Thackeray admitted the state's economy is not in good shape, but noted the entire world is facing such a crisis.

He said Prime Minister Narendra Modi has asked all chief ministers not to announce any waivers or subsidies as populist measures due to which the economy would be further burdened.

In an apparent reference to his criticism over not moving out during the COVID-19 pandemic, Mr Thackeray said discussions and deliberations as well as signing of MoUs were being done by him sitting at home.

Asked about the participation of Chinese firms in investing in the state, he said more than the presence of Chinese firms in the recent MoUs, what is important is whether Chinese investments should remain in the country or not.

""During a video conference meeting with the prime minister, I had requested him to frame a national policy on doing business with China,"" he said.

Mr Thackeray also said his government had kept the MoUs with Chinese firms on hold.

""There should be a policy on whether Chinese companies should be allowed to do business in the country. If tomorrow, the situation improves and the Chinese prime minister is welcomed in India, why should we miss the business opportunities now?"" he asked.

The chief minister also rejected criticism that bureaucracy has an upper hand in his government.

""The government is the decision-maker and bureaucracy implements the decisions,"" he added.",https://www.ndtv.com/india-news/maharashtra-chief-minister-uddhav-thackeray-maha-vikas-aghadi-mva-governments-steering-wheel-is-in-my-hands-2268996,Covid,/Centre:Mumbai,Centre,Mumbai,,"Maharashtra Government's ""Steering Wheel"" In My Hands: Uddhav Thackeray"
5,11,"Maharashtra on Saturday reported 9,251 new COVID-19 cases, taking the cumulative count in the state to 3,66,368 while fatalities mounted by 257, including 116 in Mumbai Metropolitan Region (MMR), to 13,389, the state Health department said. A record number of 7,227 patients were discharged in the day, taking the count of recovered cases to 2,07,194.

Around 8.85 lakh patients have recovered so far; the recovery rate stood at 63.91 per cent this morning. The positivity rate - percentage of patients who have tested positive for coronavirus - is 11 per cent. Earlier this week, the government had said that it aims to bring down the positivity rate to 5 per cent.

Karnataka on Saturday registered over 5,000 new coronavirus cases for the third day in a row, taking its total past 90,000. Bengaluru alone reported 2,036 new cases taking its overall tally to 43,503.

Delhi has improved its position in the number of active COVID-19 cases and is currently at the eighth spot among states and union territories in the country, Chief Minister Arvind Kejriwal said on Saturday.

In the highest single-day spike till now, Kerala on Saturday reported 1,103 fresh COVID-19 cases taking the infection count to 18,098, while over 1.5 lakh persons are under observation. As many as 9,420 persons are under treatment for coronavirus.

Coronavirus cases in Tamil Nadu have crossed the two lakh-mark with 6,989 new cases reported in the last 24 hours, which is also the biggest single-day spike, government data shows. Eighty-nine have died and 7,758 have recovered in the last 24 hours. The total cases in the state is now 2,06,737.

Gujarat on Saturday logged the highest single-day spike in coronavirus cases with 1,081 new infections, taking the total count to 54,712 while 22 patients died, including 11 in Surat, the state health department said.

Maharashtra Chief Minister Uddhav Thackeray will launch a plasma donation program on July 27, following the ''Plasma Daan Sankalp Abhiyan'' for primary screening of recovered COVID-19 patients in Dharavi area of Mumbai.

India, the third worst-hit country in the global coronavirus tally after US and Brazil, has gradually ramped-up its COVID-19 testing capacity and has conducted over 4.2 lakh tests in a day, the Union Health Ministry said Saturday, crediting the increase to the number of labs for the achievement.",https://www.ndtv.com/india-news/coronavirus-over-13-85-lakh-coronavirus-cases-in-india-so-far-32-063-deaths-63-91-recovery-rate-2268954,Riot,/Dharavi:Mumbai,Dharavi,Mumbai,,"Over 48,000 Coronavirus Cases In 24 Hours Take India's Tally To Over 13.85 Lakh"
6,19,"Paleogenomics has amounted to a ""revolution"" in understanding disease history. (Istock)

As the novel coronavirus pandemic reshapes lives and entire economies, historians tell us this is not the first time. The earliest written records of tiny infectious organisms overhauling human societies stretch back as far as the Plague of Justinian in A.D. 541, which is thought to have killed up to 50 million people, or even the earlier Antonine Plague in A.D. 165, which left 5 million dead, a substantial portion of the world then.

Now, paleogenomics - a nascent field that studies DNA in remnants of ancient teeth - is rewriting the first chapter of humanity's entanglement with disease to thousands of years older than originally thought. The growing evidence suggests that these first epidemics forced societies to make epoch-defining transformations.

""In the case of covid-19 [the disease caused by the coronavirus], we see similar processes, but we are watching it unfold in real time,"" said Anne Stone, regents professor in the School of Human Evolution and Social Change at Arizona State University, whose focus is anthropological genetics. She also has studied evidence of tuberculosis in ancient DNA.

Paleogenomics, which adapts high-end medical tools similar to some now being used to track the coronavirus, has amounted to a ""revolution"" in understanding disease history, says Maria Spyrou, a microbiologist at the Max Planck Institute in Germany.

""This is one of the things that we can now start saying,"" said Spyrou, adding that where historical records are lacking, DNA evidence offers the possibility of filling in gaps, sometimes in surprising ways.

""One of them is plague,"" Spyrou said. ""Until 2015, we thought that plague was maybe a 3,000-year-old disease.""

Scientists and archaeologists now believe, however, that the plague bacteria, which caused the medieval Black Death that killed up to half of Europe's population, infected humans roughly 5,000 years ago in the Stone Age. The bacteria, after it had entered the bloodstream and likely killed the host, circulated into the pulp chamber of teeth, which kept its DNA insulated from millennia of environmental wear and tear. In the past decade, scientists have been able to extract and analyze that DNA.

The Stone Age plague was, however, an ancestor with a slightly different genetic identity. Tracking how those differences evolve helps infectious-disease biologists better understand what causes disease and how to prepare for current outbreaks. The plague bacteria in the Stone Age, for example, lacked the genes necessary to jump from fleas to humans, which likely spread the Black Death widely.

Without the flea gene, the disease probably used another animal transmitter that came into contact with humans. In 2018, a University of Copenhagen team published the first evidence, based on early data three years before, that the ancient plague bacteria, found in a Swedish settlement, had the power to kill and may have threatened life in the age's ""mega-settlements"" that could spread diseases quickly.

""It probably was the first pandemic,"" said Simon Rasmussen, a genomicist at the university and lead researcher on the plague study. In the Stone Age, also called the Neolithic period, humans made unprecedented moves to gather in large settlements with up to 10,000 people in close quarters with animals and virtually no sanitation. ""It's the textbook place of where you could have a new pathogen,"" he said.

Paleogenomics has also allowed archaeologists to fill in one of the biggest silences in the archaeological record: disease. Pathogens rarely leave traces on bones, and populations without writing could die out without any readable record of the cause. With the ability to read traces of DNA preserved in teeth, historians are learning about the organisms inside ancient humans.

Kristian Kristiansen, a University of Copenhagen archaeologist and a co-author of the plague study, believes his group's research illuminates the causes of a Stone Age demographic transformation, called the Neolithic decline, which archaeologists have long studied.

Settlements at the time were disappearing faster than they were appearing, and within a few hundred years, most of the population had been replaced by migrants from the Eurasian Steppe. Researchers had only ever hypothesized that disease may have played a role in crippling the native population before it was overtaken, but now they have evidence, Kristiansen says.

""The steppe migrations would not have succeeded without the plague . . . and [those living in what is now Europe] would not all have spoken Indo-European languages,"" Kristiansen said. ""Later prehistory has been turned upside down to say the least.""

In 2018, a paleogenomics team analyzed ancient teeth from Neolithic sites in present-day Germany and discovered the hepatitis B virus stretched back at least 7,000 years. Another study the same year extended our knowledge of the history of parvovirus B19 from a few hundred years to 6,900 years. Parvovirus B19 causes a mild rash in humans and leads to outbreaks in the United States every few years

In February, researchers at the Massachusetts Institute of Technology published evidence that types of Salmonella bacteria, which sicken about a million people in the United States every year, were afflicting humans 6,500 years ago. Microbiologist Felix Key identified Salmonella DNA in teeth recovered from burial sites near the Volga River in present-day Russia, where archaeological evidence has shown that humans began to abandon foraging for pastoral living. The Salmonella DNA in their teeth is the first evidence, Key says, that the adoption of this lifestyle in close contact with animals may have introduced pathogens to humans.

""This ancient DNA could give us the means to prove or disprove the hypothesis that the Neolithic revolution was the major event for introducing diseases into humans,"" said Key, who is now at the Max Planck Institute for the Science of Human History. ""My hunch is that it did facilitate the disease, because humans and animals were co-housed.""

Like many paleogenomicists, Key uses dentist tools and dons what looks like a hazmat suit that blocks possible DNA contamination from teeth recovered from settlements thousands of years older than the Roman Empire.

New methods of extracting DNA that were developed for medical purposes have made paleogenomics possible in the past decade. After using dentist tools to recover and pulverize material locked inside a tooth, molecular biologists use a technique called ""shotgun sequencing"" to extract all genetic material without needing to know what to look for. Decrypting the data then requires that bioinformatic specialists can match the genetic identities to known pathogens. As the disease database grows, it becomes easier to identify signals from noise. Archaeologists then have the task of putting human disease into historical context.

The process is expensive, and it's dominated by labs in Europe with equipment and funding. Conducting a complete survey of teeth can cost upward of $1 million. That depends, still, on a team's good fortune in finding enough ancient teeth that have experienced the right conditions over millennia to preserve pathogen DNA. In the study of the Salmonella bacteria, Key's team analyzed 3,000 samples and found just eight with preserved Salmonella bacteria.

Rasmussen, of the Copenhagen plague study, said that, while he is fairly certain his team's evidence describes the oldest human pandemic, more DNA samples must be found and analyzed. The DNA used in his study come from just one small settlement in the area of modern-day Sweden. To prove a pandemic, Rasmussen said, scientists will need to find DNA evidence in some larger sites - in other parts of Europe.

Even so, Stone said, paleogenomics has shown that humans have been in ""an arms race with pathogens"" for thousands of years.

""Periodically, pathogens jump into humans,"" she said, ""and it's really easy to become complacent when you don't happen to have a pathogen affecting large segments of your population at the moment. But you let those resources go at your peril, which we're seeing right now.""

(This story has not been edited by NDTV staff and is auto-generated from a syndicated feed.)",https://www.ndtv.com/world-news/coronavirus-paleogenomics-study-ancient-teeth-show-that-epidemics-began-much-further-back-in-history-2268936,Covid,/The United States:Mumbai,The United States,Mumbai,,Ancient Teeth Show That Epidemics Began Much Further Back In History
7,21,"Maharashtra on Saturday reported 9,251 new COVID-19 cases, taking the cumulative count in the state to 3,66,368 while fatalities mounted by 257, including 116 in Mumbai Metropolitan Region (MMR), to 13,389, the state Health department said. A record number of 7,227 patients were discharged in the day, taking the count of recovered cases to 2,07,194.

Around 8.85 lakh patients have recovered so far; the recovery rate stood at 63.91 per cent this morning. The positivity rate - percentage of patients who have tested positive for coronavirus - is 11 per cent. Earlier this week, the government had said that it aims to bring down the positivity rate to 5 per cent.

Karnataka on Saturday registered over 5,000 new coronavirus cases for the third day in a row, taking its total past 90,000. Bengaluru alone reported 2,036 new cases taking its overall tally to 43,503.

Delhi has improved its position in the number of active COVID-19 cases and is currently at the eighth spot among states and union territories in the country, Chief Minister Arvind Kejriwal said on Saturday.

In the highest single-day spike till now, Kerala on Saturday reported 1,103 fresh COVID-19 cases taking the infection count to 18,098, while over 1.5 lakh persons are under observation. As many as 9,420 persons are under treatment for coronavirus.

Coronavirus cases in Tamil Nadu have crossed the two lakh-mark with 6,989 new cases reported in the last 24 hours, which is also the biggest single-day spike, government data shows. Eighty-nine have died and 7,758 have recovered in the last 24 hours. The total cases in the state is now 2,06,737.

Gujarat on Saturday logged the highest single-day spike in coronavirus cases with 1,081 new infections, taking the total count to 54,712 while 22 patients died, including 11 in Surat, the state health department said.

Maharashtra Chief Minister Uddhav Thackeray will launch a plasma donation program on July 27, following the ''Plasma Daan Sankalp Abhiyan'' for primary screening of recovered COVID-19 patients in Dharavi area of Mumbai.

India, the third worst-hit country in the global coronavirus tally after US and Brazil, has gradually ramped-up its COVID-19 testing capacity and has conducted over 4.2 lakh tests in a day, the Union Health Ministry said Saturday, crediting the increase to the number of labs for the achievement.",https://www.ndtv.com/india-news/coronavirus-over-13-85-lakh-coronavirus-cases-in-india-so-far-32-063-deaths-63-91-recovery-rate-2268954,Riot,/Dharavi:Mumbai,Dharavi,Mumbai,,"Over 48,000 Coronavirus Cases In 24 Hours Take India's Tally To Over 13.85 Lakh"
8,25,"""Recite Hanuman Chalisa To Fight Coronavirus"", Says BJP's Pragya Thakur. (FILE)

BJP MP Pragya Singh Thakur on Saturday appealed people to recite the Hanuman Chalisa five times a day till August 5, which she believes will rid the world of the coronavirus pandemic.

""Bhoomi pujan'' or the ground-breaking ceremony for the construction of Ram temple at Ayodhya is to take place on August 5.

""Let us all of us together make a spiritual effort to wish people good health and end the coronavirus epidemic. Recite ''Hanuman Chalisa'' five times a day at your home from July 25 to August 5,"" the Bhopal MP tweeted.

""Conclude this ritual by lighting lamps on August 5 and offering ''aarti'' to Lord Ram at home,"" she added.

She also shared a video on Twitter, in which she said the BJP government in Madhya Pradesh is making efforts to contain the spread of coronavirus by imposing lockdown in Bhopal till August 4.

""Though the lockdown will be over on August 4, this ritual (recitation of the Hanuman Chalisa, a hymn in praise of Lord Hanuman) will end on August 5, when ''bhoomi pujan'' for Ram temple in Ayodhya will be performed. We will celebrate that day like Diwali,"" she added.

""When people... Hindus from across the country recite the ''Hanuman Chalisa'' in one voice, it will definitely work and we will be free from coronavirus...This is your prayer to Lord Ram,"" said Thakur.

(This story has not been edited by NDTV staff and is auto-generated from a syndicated feed.)",https://www.ndtv.com/india-news/recite-hanuman-chalisa-to-fight-coronavirus-bjps-pragya-thakur-2268894,Covid,/Ayodhya:Lucknow,Ayodhya,Lucknow,,"""Recite Hanuman Chalisa To Fight Coronavirus"": BJP's Pragya Thakur"
9,27,"Madhya Pradesh Chief Minister Shivraj Singh Chouhan has coronavirus (File)

Madhya Pradesh Chief Minister Shivraj Singh Chouhan, who on Saturday confirmed he had tested positive for COVID-19, tweeted Sunday morning to say that he is ""fine"" and to offer his praise for front-line workers in the war on coronavirus.

The Chief Minister also repeated his warnings from yesterday, when he urged people to follow guidelines, such as social distancing and the use of face masks.

""I am fine, my friends. The dedication of coronavirus warriors, who selflessly risk their lives, is praiseworthy. I salute all coronavirus warriors of the state,"" Mr Chouhan tweeted from Bhopal's Chirayu Hospital, where he was admitted yesterday.

""Keep two metres distance, wash your hands frequently and wear face masks - these are the biggest weapons we have to avoid the coronavirus. I appeal to all people - use these weapons for yourself and your loved ones,"" he said.

""All of you be careful, stay safe and healthy. This is what I pray to God,"" Mr Chouhan added.

On Saturday Mr Chouhan had tweeted that he had tested positive for the virus despite his best efforts to avoid infection and warned that ""just a little carelessness invites the coronavirus"".

Tweeting this morning Mr Chouhan said that despite the threat of infection there was ""no need to fear"" and urged those showing symptoms to get themselves tested.

""If you are infected, there is no need to fear. Do not hide symptoms but tell doctors immediately, so treatment can be started. Timely treatment will make you healthy,"" he said.

Madhya Pradesh has nearly 27,000 COVID-19 cases, of which more than 7,600 are active and 799 are deaths linked to the virus.

India has recorded a surge in COVID-19 cases in the past weeks, with over 45,000 new cases detected every day since July 23. The total number of confirmed coronavirus cases is rapidly approaching 14 lakh; of these more than 4.67 lakh are active cases and over 32,000 are deaths linked to the virus.

The spike in cases, coinciding with the staggered relaxation of lockdown guidelines in non-containment zones of the country, has propelled India to third on the list of most affected nations.

Only the United States (41.78 lakh cases) and Brazil (23.94 lakh cases) are worse off.",https://www.ndtv.com/india-news/madhya-pradesh-chief-minister-shivraj-singh-chouhan-covid-19-positive-if-infected-dont-fear-shivraj-singh-chouhan-on-testing-covid-positive-2269021,Covid,/The United States:Mumbai,The United States,Mumbai,,"""If Infected, Don't Fear"": Shivraj Singh Chouhan On Testing Covid Positive"
