date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-26 04:44:08,ANI,,28,256,1760,"Kargil is not only a symbol of our self-respect but also a step taken against injustice. Former PM AB Vajpayee had said that within the purview of national security whatever we do is for self-defence and not attack... :Defence Minister Rajnath Singh #KargilVijayDiwaspic.twitter.com/GrWbMPnNFs",,,#KargilVijayDiwaspic,1287247306304024576,https://twitter.com/ANI/status/1287247306304024576
2020-07-25 03:38:08,ANI,,28,338,1973,"Why did Cong take 16yrs to appreciate his contributions? Sonia Gandhi&R.Gandhi never attended events held to mark his birth/death anniversary:NV Subhash,grandson of ex-PM PV Narasimha Rao&Telengana BJP leader on T'gana Cong organising events on birth centenary of PV Narasimha Raopic.twitter.com/kilBc6uU5u",,,,1286868310852657152,https://twitter.com/ANI/status/1286868310852657152
2020-07-24 07:28:20,ANI,,178,816,6420,"Indian Premier League (IPL) 2020 to be played from 19th September to 8th November. It will be a full-fledged tournament: Brijesh Patel, IPL Chairmanpic.twitter.com/QsULr9EqtZ",,,,1286563853363376128,https://twitter.com/ANI/status/1286563853363376128
2020-07-24 07:05:34,ANI,,145,332,1972,"Delhi: Toxic foam seen in river Yamuna at Okhla Barrage.pic.twitter.com/bGCJY1FMe0",,,,1286558125764444160,https://twitter.com/ANI/status/1286558125764444160
2020-07-23 21:07:35,ANI,,28,512,2793,"China ripped off our prized intellectual property and trade secrets. It sucked supply chains away from America and then added a widget made of slave labour. It made the world’s key waterways less safe for international commerce: Mike Pompeo, US Secretary of Statepic.twitter.com/oKhOIzGNuO",,,,1286407636703801345,https://twitter.com/ANI/status/1286407636703801345
2020-07-23 19:46:14,ANI,,478,260,2697,"Maharashtra: Haji Goat Farm in Jogeshwari, Mumbai is selling goats online this #EidAlAdha in view of COVID19. Wasim Khan, owner of the farm says, ""Customers can view pictures of goats online & choose which one they want. We deliver directly to their homes to avoid crowding.""pic.twitter.com/dX5QCTC3dq",,,#EidAlAdha,1286387164599656448,https://twitter.com/ANI/status/1286387164599656448
2020-07-23 15:03:05,ANI,,528,369,1630,"Maharashtra govt has decided to distribute Rs 1.80 Crores among the teachers of 121 madrasas in the state, for their salaries under Dr Zakir Hussain Madarsa Modernisation Scheme: Maharashtra’s Minority Development Minister Nawab Malik (file pic)pic.twitter.com/CnZp24lFAj",,,,1286315906629398529,https://twitter.com/ANI/status/1286315906629398529
2020-07-23 08:59:10,ANI,,302,372,3592,"We don't want any position or to be a trustee of the Ram Temple. We only want that the temple should be built properly and the foundation stone should be laid at the right time, but this is an 'ashubh ghadi' (inauspicious time): Shankaracharya Swaroopanand Saraswatipic.twitter.com/9gwLl1ZzUP",,,,1286224323385028608,https://twitter.com/ANI/status/1286224323385028608
2020-07-22 23:39:10,ANI,,301,1013,3977,"Haryana: Rajkumar, a tea seller in Kurukshetra claims he owes Rs50 crores to banks without even taking a loan. Says, ""I had applied for a loan as my financial situation is dire due to COVID. Bank rejected it saying I already have debt of Rs 50 cr, don't know how it is possible.""pic.twitter.com/BhTStsIwiy",,,,1286083395294908416,https://twitter.com/ANI/status/1286083395294908416
2020-07-22 18:14:46,ANI,,333,2407,24415,"Russian President Vladimir Putin expressed his deepest condolences to President of India Ram Nath Kovind and Prime Minister of India Narendra Modi over the tragic consequences of the floods in several states of the country: Office of Russia's President (file pic)pic.twitter.com/b3ScY2IzJa",,,,1286001758183940096,https://twitter.com/ANI/status/1286001758183940096
2020-07-22 14:27:05,ANI,ANI,101,2871,10411,"India has a chance to check global supply chain away from China & reduce reliance on Chinese companies in areas like telecom, medical supplies & others. India is in this position because it has earned the trust of many nations including US: Mike Pompeo, US Secretary of Statehttps://twitter.com/ANI/status/1285944181299372033 …",,,,1285944460115771393,https://twitter.com/ANI/status/1285944460115771393
2020-07-22 13:50:43,ANI,,52,1840,13093,"We have invited PM Modi to the next G7 Summit, where we will advance the international prosperity network: Mike Pompeo, US Secretary of State at India Ideas Summitpic.twitter.com/HquSZKMWeK",,,,1285935305606836224,https://twitter.com/ANI/status/1285935305606836224
2020-07-22 09:15:40,ANI,,130,1029,7468,"PM Narendra Modi will lay the foundation stone of Ram Temple on August 5. To ensure social distancing at the programme, we've decided that there will not be more than 200 people including 150 invitees: Swami Govind Dev Giri, Treasurer of Shri Ram Janmabhoomi Tirtha Kshetrapic.twitter.com/NBO7zaGMvG",,,,1285866088689922050,https://twitter.com/ANI/status/1285866088689922050
2020-07-21 22:28:28,ANI,,47,388,1017,"Delhi: National Students' Union of India (NSUI) workers protested in front of MHRD office yesterday against the University Grants Commission's decision to conduct final year examinations.pic.twitter.com/VxwSSz2FD8",,,,1285703213858127875,https://twitter.com/ANI/status/1285703213858127875
2020-07-21 08:08:10,ANI,,325,873,2987,"Karnataka: A cow succumbed to injuries after it accidentally ate explosive material which was allegedly kept to kill wild pigs at a farm near HD Kote in Mysuru.pic.twitter.com/ibqaCCoT1Y",,,,1285486714488713216,https://twitter.com/ANI/status/1285486714488713216
2020-07-21 06:13:50,ANI,,231,954,4998,"Two students who appeared for Kerala Engineering Architecture Medical (KEAM) examination at two different exam centres in Thiruvananthapuram have tested positive for #COVID19.",,,#COVID19,1285457941437444096,https://twitter.com/ANI/status/1285457941437444096
